# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=WISE
# Wavelength(nm) Transmission(0-1)
7200.00 0.000028
7210.00 0.001720
7220.00 0.001695
7230.00 0.002120
7240.00 0.002230
7250.00 0.002056
7260.00 0.002160
7270.00 0.001918
7280.00 0.001155
7290.00 0.001644
7300.00 0.002689
7310.00 0.003371
7320.00 0.003592
7330.00 0.003522
7340.00 0.003774
7350.00 0.003684
7360.00 0.003335
7370.00 0.003334
7380.00 0.003173
7390.00 0.003379
7400.00 0.003660
7410.00 0.004279
7420.00 0.005431
7430.00 0.007114
7440.00 0.009252
7450.00 0.011710
7460.00 0.014421
7470.00 0.017429
7480.00 0.021233
7490.00 0.026207
7500.00 0.033257
7510.00 0.043132
7520.00 0.056946
7530.00 0.075682
7540.00 0.100100
7550.00 0.129790
7560.00 0.164320
7570.00 0.200060
7580.00 0.231020
7590.00 0.254820
7600.00 0.268930
7610.00 0.273040
7620.00 0.268500
7630.00 0.258810
7640.00 0.246570
7650.00 0.235550
7660.00 0.225770
7670.00 0.218490
7680.00 0.212450
7690.00 0.208930
7700.00 0.207930
7710.00 0.208200
7720.00 0.208470
7730.00 0.210010
7740.00 0.211560
7750.00 0.211830
7760.00 0.213380
7770.00 0.214940
7780.00 0.217780
7790.00 0.221900
7800.00 0.226040
7810.00 0.230190
7820.00 0.234350
7830.00 0.238520
7840.00 0.242690
7850.00 0.245590
7860.00 0.248490
7870.00 0.250100
7880.00 0.251720
7890.00 0.253330
7900.00 0.256260
7910.00 0.257880
7920.00 0.260820
7930.00 0.266370
7940.00 0.270630
7950.00 0.276210
7960.00 0.283110
7970.00 0.291340
7980.00 0.299590
7990.00 0.306540
8000.00 0.312190
8010.00 0.316540
8020.00 0.320900
8030.00 0.323940
8040.00 0.326990
8050.00 0.328720
8060.00 0.329130
8070.00 0.330870
8080.00 0.331280
8090.00 0.334350
8100.00 0.336100
8110.00 0.336510
8120.00 0.336930
8130.00 0.336010
8140.00 0.333740
8150.00 0.331460
8160.00 0.327840
8170.00 0.324210
8180.00 0.321910
8190.00 0.320950
8200.00 0.318650
8210.00 0.317680
8220.00 0.315360
8230.00 0.314390
8240.00 0.313420
8250.00 0.311080
8260.00 0.307380
8270.00 0.302300
8280.00 0.297210
8290.00 0.292110
8300.00 0.291100
8310.00 0.291450
8320.00 0.291800
8330.00 0.293520
8340.00 0.293870
8350.00 0.292850
8360.00 0.291830
8370.00 0.292180
8380.00 0.293900
8390.00 0.297020
8400.00 0.300140
8410.00 0.301880
8420.00 0.305010
8430.00 0.308150
8440.00 0.311300
8450.00 0.314450
8460.00 0.319000
8470.00 0.323560
8480.00 0.328130
8490.00 0.332710
8500.00 0.337300
8510.00 0.341900
8520.00 0.345110
8530.00 0.348320
8540.00 0.351540
8550.00 0.354770
8560.00 0.358010
8570.00 0.359840
8580.00 0.361670
8590.00 0.362090
8600.00 0.361090
8610.00 0.360100
8620.00 0.359100
8630.00 0.358090
8640.00 0.355660
8650.00 0.354650
8660.00 0.353630
8670.00 0.352610
8680.00 0.351590
8690.00 0.349130
8700.00 0.348100
8710.00 0.345630
8720.00 0.344600
8730.00 0.343550
8740.00 0.339630
8750.00 0.332810
8760.00 0.317330
8770.00 0.290250
8780.00 0.253000
8790.00 0.217100
8800.00 0.197060
8810.00 0.203090
8820.00 0.228010
8830.00 0.261710
8840.00 0.291120
8850.00 0.311850
8860.00 0.323870
8870.00 0.331540
8880.00 0.336300
8890.00 0.341070
8900.00 0.345850
8910.00 0.350640
8920.00 0.353970
8930.00 0.357310
8940.00 0.359180
8950.00 0.359580
8960.00 0.361460
8970.00 0.363340
8980.00 0.363740
8990.00 0.365630
9000.00 0.366030
9010.00 0.364960
9020.00 0.363880
9030.00 0.362790
9040.00 0.361710
9050.00 0.360620
9060.00 0.361020
9070.00 0.362910
9080.00 0.363310
9090.00 0.365200
9100.00 0.367100
9110.00 0.370510
9120.00 0.370910
9130.00 0.372820
9140.00 0.373230
9150.00 0.372130
9160.00 0.371030
9170.00 0.368420
9180.00 0.367310
9190.00 0.364680
9200.00 0.363560
9210.00 0.363960
9220.00 0.362840
9230.00 0.363230
9240.00 0.362100
9250.00 0.362490
9260.00 0.359840
9270.00 0.360230
9280.00 0.359090
9290.00 0.359470
9300.00 0.361390
9310.00 0.361780
9320.00 0.363700
9330.00 0.364090
9340.00 0.364480
9350.00 0.366410
9360.00 0.366800
9370.00 0.365650
9380.00 0.366040
9390.00 0.366430
9400.00 0.368370
9410.00 0.368760
9420.00 0.370710
9430.00 0.371100
9440.00 0.373050
9450.00 0.375000
9460.00 0.376950
9470.00 0.378910
9480.00 0.382430
9490.00 0.385960
9500.00 0.389500
9510.00 0.393040
9520.00 0.395020
9530.00 0.395440
9540.00 0.395850
9550.00 0.394690
9560.00 0.391960
9570.00 0.390790
9580.00 0.388050
9590.00 0.385290
9600.00 0.382530
9610.00 0.379770
9620.00 0.378580
9630.00 0.377390
9640.00 0.377780
9650.00 0.379760
9660.00 0.381740
9670.00 0.385320
9680.00 0.387310
9690.00 0.390910
