# Wavelength(nm)   Flambda(ergs/cm^s/s/nm)
300.0 6.44417018994e-17
300.1 6.46567224736e-17
300.2 6.48721732322e-17
300.3 6.50880547488e-17
300.4 6.53043675973e-17
300.5 6.55211123523e-17
300.6 6.57382895888e-17
300.7 6.59558998821e-17
300.8 6.61739438082e-17
300.9 6.63924219435e-17
301.0 6.66113348649e-17
301.1 6.68306831498e-17
301.2 6.70504673759e-17
301.3 6.72706881216e-17
301.4 6.74913459657e-17
301.5 6.77124414874e-17
301.6 6.79339752666e-17
301.7 6.81559478834e-17
301.8 6.83783599187e-17
301.9 6.86012119534e-17
302.0 6.88245045695e-17
302.1 6.90482383489e-17
302.2 6.92724138744e-17
302.3 6.94970317291e-17
302.4 6.97220924966e-17
302.5 6.99475967609e-17
302.6 7.01735451067e-17
302.7 7.03999381189e-17
302.8 7.06267763831e-17
302.9 7.08540604854e-17
303.0 7.10817910122e-17
303.1 7.13099685505e-17
303.2 7.15385936878e-17
303.3 7.1767667012e-17
303.4 7.19971891115e-17
303.5 7.22271605753e-17
303.6 7.24575819928e-17
303.7 7.26884539538e-17
303.8 7.29197770487e-17
303.9 7.31515518683e-17
304.0 7.3383779004e-17
304.1 7.36164590476e-17
304.2 7.38495925915e-17
304.3 7.40831802283e-17
304.4 7.43172225514e-17
304.5 7.45517201546e-17
304.6 7.4786673632e-17
304.7 7.50220835784e-17
304.8 7.52579505891e-17
304.9 7.54942752597e-17
305.0 7.57310581864e-17
305.1 7.59682999659e-17
305.2 7.62060011954e-17
305.3 7.64441624725e-17
305.4 7.66827843954e-17
305.5 7.69218675627e-17
305.6 7.71614125734e-17
305.7 7.74014200273e-17
305.8 7.76418905243e-17
305.9 7.78828246651e-17
306.0 7.81242230508e-17
306.1 7.83660862828e-17
306.2 7.86084149633e-17
306.3 7.88512096948e-17
306.4 7.90944710802e-17
306.5 7.93381997231e-17
306.6 7.95823962276e-17
306.7 7.9827061198e-17
306.8 8.00721952394e-17
306.9 8.03177989573e-17
307.0 8.05638729575e-17
307.1 8.08104178467e-17
307.2 8.10574342316e-17
307.3 8.13049227197e-17
307.4 8.15528839191e-17
307.5 8.1801318438e-17
307.6 8.20502268853e-17
307.7 8.22996098706e-17
307.8 8.25494680036e-17
307.9 8.27998018948e-17
308.0 8.3050612155e-17
308.1 8.33018993956e-17
308.2 8.35536642285e-17
308.3 8.3805907266e-17
308.4 8.40586291209e-17
308.5 8.43118304066e-17
308.6 8.4565511737e-17
308.7 8.48196737263e-17
308.8 8.50743169894e-17
308.9 8.53294421416e-17
309.0 8.55850497986e-17
309.1 8.58411405769e-17
309.2 8.60977150932e-17
309.3 8.63547739647e-17
309.4 8.66123178094e-17
309.5 8.68703472454e-17
309.6 8.71288628915e-17
309.7 8.7387865367e-17
309.8 8.76473552917e-17
309.9 8.79073332858e-17
310.0 8.81677999702e-17
310.1 8.84287559659e-17
310.2 8.86902018949e-17
310.3 8.89521383794e-17
310.4 8.9214566042e-17
310.5 8.94774855061e-17
310.6 8.97408973954e-17
310.7 9.00048023341e-17
310.8 9.02692009469e-17
310.9 9.05340938592e-17
311.0 9.07994816965e-17
311.1 9.10653650852e-17
311.2 9.1331744652e-17
311.3 9.15986210241e-17
311.4 9.18659948293e-17
311.5 9.21338666956e-17
311.6 9.2402237252e-17
311.7 9.26711071276e-17
311.8 9.2940476952e-17
311.9 9.32103473556e-17
312.0 9.34807189691e-17
312.1 9.37515924237e-17
312.2 9.40229683511e-17
312.3 9.42948473835e-17
312.4 9.45672301536e-17
312.5 9.48401172947e-17
312.6 9.51135094406e-17
312.7 9.53874072253e-17
312.8 9.56618112837e-17
312.9 9.5936722251e-17
313.0 9.62121407629e-17
313.1 9.64880674556e-17
313.2 9.67645029659e-17
313.3 9.7041447931e-17
313.4 9.73189029887e-17
313.5 9.75968687772e-17
313.6 9.78753459352e-17
313.7 9.8154335102e-17
313.8 9.84338369173e-17
313.9 9.87138520215e-17
314.0 9.89943810552e-17
314.1 9.92754246597e-17
314.2 9.95569834768e-17
314.3 9.98390581487e-17
314.4 1.00121649318e-16
314.5 1.00404757629e-16
314.6 1.00688383724e-16
314.7 1.00972528248e-16
314.8 1.01257191846e-16
314.9 1.01542375163e-16
315.0 1.01828078845e-16
315.1 1.02114303538e-16
315.2 1.0240104989e-16
315.3 1.02688318546e-16
315.4 1.02976110156e-16
315.5 1.03264425367e-16
315.6 1.03553264828e-16
315.7 1.0384262919e-16
315.8 1.04132519101e-16
315.9 1.04422935211e-16
316.0 1.04713878173e-16
316.1 1.05005348637e-16
316.2 1.05297347254e-16
316.3 1.05589874679e-16
316.4 1.05882931562e-16
316.5 1.06176518559e-16
316.6 1.06470636322e-16
316.7 1.06765285506e-16
316.8 1.07060466767e-16
316.9 1.07356180759e-16
317.0 1.07652428138e-16
317.1 1.07949209561e-16
317.2 1.08246525686e-16
317.3 1.08544377168e-16
317.4 1.08842764667e-16
317.5 1.09141688841e-16
317.6 1.0944115035e-16
317.7 1.09741149851e-16
317.8 1.10041688006e-16
317.9 1.10342765475e-16
318.0 1.10644382919e-16
318.1 1.10946541e-16
318.2 1.1124924038e-16
318.3 1.11552481721e-16
318.4 1.11856265687e-16
318.5 1.1216059294e-16
318.6 1.12465464146e-16
318.7 1.12770879969e-16
318.8 1.13076841074e-16
318.9 1.13383348127e-16
319.0 1.13690401793e-16
319.1 1.13998002741e-16
319.2 1.14306151636e-16
319.3 1.14614849147e-16
319.4 1.14924095941e-16
319.5 1.15233892688e-16
319.6 1.15544240057e-16
319.7 1.15855138718e-16
319.8 1.1616658934e-16
319.9 1.16478592595e-16
320.0 1.16791149155e-16
320.1 1.1710425969e-16
320.2 1.17417924873e-16
320.3 1.17732145378e-16
320.4 1.18046921877e-16
320.5 1.18362255045e-16
320.6 1.18678145555e-16
320.7 1.18994594084e-16
320.8 1.19311601305e-16
320.9 1.19629167896e-16
321.0 1.19947294533e-16
321.1 1.20265981892e-16
321.2 1.20585230652e-16
321.3 1.2090504149e-16
321.4 1.21225415085e-16
321.5 1.21546352116e-16
321.6 1.21867853262e-16
321.7 1.22189919204e-16
321.8 1.22512550623e-16
321.9 1.22835748199e-16
322.0 1.23159512614e-16
322.1 1.2348384455e-16
322.2 1.23808744691e-16
322.3 1.24134213718e-16
322.4 1.24460252317e-16
322.5 1.24786861171e-16
322.6 1.25114040965e-16
322.7 1.25441792385e-16
322.8 1.25770116116e-16
322.9 1.26099012844e-16
323.0 1.26428483257e-16
323.1 1.26758528042e-16
323.2 1.27089147886e-16
323.3 1.27420343479e-16
323.4 1.27752115509e-16
323.5 1.28084464666e-16
323.6 1.28417391639e-16
323.7 1.28750897119e-16
323.8 1.29084981798e-16
323.9 1.29419646366e-16
324.0 1.29754891517e-16
324.1 1.30090717942e-16
324.2 1.30427126334e-16
324.3 1.30764117388e-16
324.4 1.31101691797e-16
324.5 1.31439850257e-16
324.6 1.31778593461e-16
324.7 1.32117922107e-16
324.8 1.32457836891e-16
324.9 1.32798338509e-16
325.0 1.33139427658e-16
325.1 1.33481105037e-16
325.2 1.33823371344e-16
