# LSST Throughputs files created from syseng_throughputs repo
# Version 1.1
# sha1 acd2b1389ef7356e2125ef6f9dc40a5ffe2af05b
# Wavelength(nm)  Throughput(0-1)
300.0 0.33915
300.1 0.339465
300.2 0.33978
300.3 0.340095
300.4 0.34041
300.5 0.340725
300.6 0.34104
300.7 0.341355
300.8 0.34167
300.9 0.341985
301.0 0.3423
301.1 0.34272
301.2 0.34314
301.3 0.34356
301.4 0.34398
301.5 0.3444
301.6 0.34482
301.7 0.34524
301.8 0.34566
301.9 0.34608
302.0 0.3465
302.1 0.346785273
302.2 0.347070492
302.3 0.347355657
302.4 0.347640768
302.5 0.347925825
302.6 0.348210828
302.7 0.348495777
302.8 0.348780672
302.9 0.349065513
303.0 0.3493503
303.1 0.349706594
303.2 0.350062736
303.3 0.350418726
303.4 0.350774564
303.5 0.35113025
303.6 0.351485784
303.7 0.351841166
303.8 0.352196396
303.9 0.352551474
304.0 0.3529064
304.1 0.3532578
304.2 0.35360904
304.3 0.35396012
304.4 0.35431104
304.5 0.3546618
304.6 0.3550124
304.7 0.35536284
304.8 0.35571312
304.9 0.35606324
305.0 0.3564132
305.1 0.356655087
305.2 0.356896848
305.3 0.357138483
305.4 0.357379992
305.5 0.357621375
305.6 0.357862632
305.7 0.358103763
305.8 0.358344768
305.9 0.358585647
306.0 0.3588264
306.1 0.359167872
306.2 0.359509168
306.3 0.359850288
306.4 0.360191232
306.5 0.360532
306.6 0.360872592
306.7 0.361213008
306.8 0.361553248
306.9 0.361893312
307.0 0.3622332
307.1 0.362572912
307.2 0.362912448
307.3 0.363251808
307.4 0.363590992
307.5 0.36393
307.6 0.364268832
307.7 0.364607488
307.8 0.364945968
307.9 0.365284272
308.0 0.3656224
308.1 0.365960352
308.2 0.366298128
308.3 0.366635728
308.4 0.366973152
308.5 0.3673104
308.6 0.367647472
308.7 0.367984368
308.8 0.368321088
308.9 0.368657632
309.0 0.368994
309.1 0.369330192
309.2 0.369666208
309.3 0.370002048
309.4 0.370337712
309.5 0.3706732
309.6 0.371008512
309.7 0.371343648
309.8 0.371678608
309.9 0.372013392
