# $LastChangedRevision$
# $Id$
# Wavelength(nm)  Throughput(0-1)
300.0 1.68310570401e-10
300.1 2.94520905532e-10
300.2 4.41022459942e-10
300.3 6.08978901465e-10
300.4 7.99588870972e-10
300.5 1.01408650013e-09
300.6 1.25374193131e-09
300.7 1.51986183961e-09
300.8 1.81378995704e-09
300.9 2.1369075988e-09
301.0 2.49063419168e-09
301.1 2.57032701137e-09
301.2 2.64022682047e-09
301.3 2.69951479185e-09
301.4 2.74734398735e-09
301.5 2.78283890836e-09
301.6 2.80509504444e-09
301.7 2.81317841991e-09
301.8 2.80612513845e-09
301.9 2.78294092575e-09
302.0 2.74260067013e-09
302.1 3.03648322995e-09
302.2 3.35047881708e-09
302.3 3.68545873425e-09
302.4 4.04231752873e-09
302.5 4.42197332197e-09
302.6 4.82536814059e-09
302.7 5.25346824898e-09
302.8 5.70726448324e-09
302.9 6.18777258661e-09
303.0 6.69603354634e-09
303.1 6.67008897649e-09
303.2 6.60893575902e-09
303.3 6.51023253021e-09
303.4 6.3715619096e-09
303.5 6.19042929145e-09
303.6 5.96426163038e-09
303.7 5.69040622117e-09
303.8 5.36612947278e-09
303.9 4.98861567657e-09
304.0 4.55496576871e-09
304.1 4.62094874414e-09
304.2 4.66661522016e-09
304.3 4.69043212531e-09
304.4 4.69081410336e-09
304.5 4.66612265535e-09
304.6 4.61466527731e-09
304.7 4.53469459363e-09
304.8 4.42440748621e-09
304.9 4.28194421913e-09
305.0 4.10538755919e-09
305.1 4.3176231136e-09
305.2 4.53713156943e-09
305.3 4.76407387976e-09
305.4 4.99861297516e-09
305.5 5.24091377199e-09
305.6 5.49114318078e-09
305.7 5.74947011458e-09
305.8 6.01606549732e-09
305.9 6.29110227219e-09
306.0 6.57475540998e-09
306.1 6.93011667742e-09
306.2 7.29786965963e-09
306.3 7.67829101491e-09
306.4 8.07166082792e-09
306.5 8.47826262465e-09
306.6 8.89838338725e-09
306.7 9.33231356902e-09
306.8 9.78034710928e-09
306.9 1.02427814484e-08
307.0 1.07199175425e-08
307.1 1.18053485728e-08
307.2 1.29621676194e-08
307.3 1.41934049795e-08
307.4 1.55021713959e-08
307.5 1.68916592223e-08
307.6 1.8365143595e-08
307.7 1.99259836105e-08
307.8 2.15776235089e-08
307.9 2.33235938642e-08
308.0 2.51675127793e-08
308.1 2.79401755799e-08
308.2 3.08842912313e-08
308.3 3.40067035396e-08
308.4 3.73144293806e-08
308.5 4.0814661126e-08
308.6 4.45147690818e-08
308.7 4.84223039397e-08
308.8 5.25449992406e-08
308.9 5.68907738515e-08
309.0 6.14677344548e-08
309.1 6.95159606107e-08
309.2 7.81360492138e-08
309.3 8.73527872833e-08
309.4 9.71916209889e-08
309.5 1.07678665192e-07
309.6 1.1884071304e-07
309.7 1.3070524561e-07
309.8 1.43300441601e-07
309.9 1.56655187088e-07
310.0 1.70799085315e-07
310.1 1.8794129298e-07
310.2 2.06148225056e-07
310.3 2.25464803747e-07
310.4 2.45937186767e-07
310.5 2.67612786376e-07
310.6 2.90540288507e-07
310.7 3.14769672011e-07
310.8 3.40352228e-07
310.9 3.673405793e-07
311.0 3.95788700011e-07
311.1 3.83518508193e-07
311.2 3.69265557019e-07
311.3 3.52919868228e-07
311.4 3.34368037441e-07
311.5 3.13493178052e-07
311.6 2.90174864815e-07
311.7 2.64289077093e-07
311.8 2.357081418e-07
311.9 2.04300676012e-07
312.0 1.69931529254e-07
312.1 1.63286679903e-07
312.2 1.55815959153e-07
312.3 1.47479128568e-07
312.4 1.38234822797e-07
312.5 1.28040532655e-07
312.6 1.16852588117e-07
312.7 1.04626141209e-07
312.8 9.13151488147e-08
312.9 7.68723553801e-08
313.0 6.12492755308e-08
313.1 6.94990010574e-08
313.2 7.81909691758e-08
313.3 8.73401866959e-08
313.4 9.69619880164e-08
313.5 1.07072039218e-07
313.6 1.1768634218e-07
313.7 1.28821238713e-07
313.8 1.40493414717e-07
313.9 1.52719904361e-07
314.0 1.65518094281e-07
314.1 1.88294524131e-07
314.2 2.12375413086e-07
314.3 2.37807218891e-07
314.4 2.64637445333e-07
314.5 2.92914655522e-07
314.6 3.22688485258e-07
314.7 3.54009656445e-07
314.8 3.86929990594e-07
314.9 4.2150242238e-07
315.0 4.57781013279e-07
315.1 4.92584231406e-07
315.2 5.28759780176e-07
315.3 5.66343427334e-07
315.4 6.05371554552e-07
315.5 6.45881163667e-07
315.6 6.8790988295e-07
315.7 7.31495973397e-07
315.8 7.76678335058e-07
315.9 8.2349651339e-07
316.0 8.71990705637e-07
316.1 9.10717135677e-07
316.2 9.50744668346e-07
316.3 9.92105355024e-07
316.4 1.03483178884e-06
316.5 1.07895711019e-06
316.6 1.12451501225e-06
316.7 1.17153974657e-06
316.8 1.22006612863e-06
316.9 1.27012954347e-06
317.0 1.32176595129e-06
317.1 1.21410031028e-06
317.2 1.10133443218e-06
317.3 9.83341787196e-07
317.4 8.59993889276e-07
317.5 7.31160278416e-07
317.6 5.96708502817e-07
317.7 4.5650410099e-07
317.8 3.10410583786e-07
317.9 1.5828941635e-07
318.0 0.0
318.1 0.0
318.2 0.0
318.3 0.0
318.4 0.0
318.5 0.0
318.6 0.0
318.7 0.0
318.8 0.0
318.9 0.0
319.0 0.0
319.1 0.0
319.2 0.0
319.3 0.0
319.4 0.0
319.5 0.0
319.6 0.0
319.7 0.0
319.8 0.0
319.9 0.0
320.0 0.0
320.1 0.0
320.2 0.0
320.3 0.0
320.4 0.0
320.5 0.0
320.6 0.0
320.7 0.0
320.8 0.0
320.9 0.0
321.0 0.0
321.1 0.0
321.2 0.0
321.3 0.0
321.4 0.0
321.5 0.0
321.6 0.0
321.7 0.0
321.8 0.0
321.9 0.0
322.0 0.0
322.1 0.0
322.2 0.0
322.3 0.0
322.4 0.0
322.5 0.0
322.6 0.0
322.7 0.0
322.8 0.0
322.9 0.0
323.0 0.0
323.1 0.0
323.2 0.0
323.3 0.0
323.4 0.0
323.5 0.0
323.6 0.0
323.7 0.0
323.8 0.0
323.9 0.0
324.0 0.0
324.1 0.0
324.2 0.0
324.3 0.0
324.4 0.0
324.5 0.0
324.6 0.0
324.7 0.0
324.8 0.0
324.9 0.0
325.0 0.0
325.1 0.0
325.2 0.0
325.3 0.0
325.4 0.0
325.5 0.0
325.6 0.0
325.7 0.0
325.8 0.0
325.9 0.0
326.0 0.0
326.1 0.0
326.2 0.0
326.3 0.0
326.4 0.0
326.5 0.0
326.6 0.0
326.7 0.0
326.8 0.0
326.9 0.0
327.0 0.0
327.1 0.0
327.2 0.0
327.3 0.0
327.4 0.0
327.5 0.0
327.6 0.0
327.7 0.0
327.8 0.0
327.9 0.0
328.0 0.0
328.1 0.0
328.2 0.0
328.3 0.0
328.4 0.0
328.5 0.0
328.6 0.0
328.7 0.0
328.8 0.0
328.9 0.0
329.0 0.0
329.1 0.0
329.2 0.0
329.3 0.0
329.4 0.0
329.5 0.0
329.6 0.0
329.7 0.0
329.8 0.0
329.9 0.0
330.0 0.0
330.1 0.0
330.2 0.0
330.3 0.0
330.4 0.0
330.5 0.0
330.6 0.0
330.7 0.0
330.8 0.0
330.9 0.0
331.0 0.0
331.1 0.0
331.2 0.0
331.3 0.0
331.4 0.0
331.5 0.0
331.6 0.0
331.7 0.0
331.8 0.0
331.9 0.0
332.0 0.0
332.1 0.0
332.2 0.0
332.3 0.0
332.4 0.0
332.5 0.0
332.6 0.0
332.7 0.0
332.8 0.0
332.9 0.0
333.0 3.86726453507e-17
333.1 5.16341848081e-07
333.2 1.03455628662e-06
333.3 1.5546456818e-06
333.4 2.0766123966e-06
333.5 2.60045879079e-06
333.6 3.12618722093e-06
333.7 3.65380004036e-06
333.8 4.18329959921e-06
333.9 4.71468824431e-06
334.0 5.24796831927e-06
334.1 5.59213304282e-06
334.2 5.93971623641e-06
334.3 6.29073468534e-06
334.4 6.64520522225e-06
334.5 7.00314472714e-06
334.6 7.3645701275e-06
334.7 7.72949839831e-06
334.8 8.09794656215e-06
334.9 8.46993168927e-06
335.0 8.84547089763e-06
335.1 8.98982092915e-06
335.2 9.13510152893e-06
335.3 9.28131641523e-06
335.4 9.42846931564e-06
335.5 9.5765639671e-06
335.6 9.72560411591e-06
335.7 9.87559351776e-06
335.8 1.00265359377e-05
335.9 1.01784351503e-05
336.0 1.03312949393e-05
336.1 1.01234373631e-05
336.2 9.91461901693e-06
336.3 9.70483803165e-06
336.4 9.49409253818e-06
336.5 9.28238066721e-06
336.6 9.06970054926e-06
336.7 8.85605031466e-06
336.8 8.64142809357e-06
336.9 8.42583201602e-06
337.0 8.20926021192e-06
337.1 8.82956812528e-06
337.2 9.45450589571e-06
337.3 1.00840935436e-05
337.4 1.07183511429e-05
337.5 1.13572988215e-05
337.6 1.20009567607e-05
337.7 1.26493451959e-05
337.8 1.33024844164e-05
337.9 1.39603947655e-05
338.0 1.46230966406e-05
338.1 1.43211179643e-05
338.2 1.40160789048e-05
338.3 1.3707964018e-05
338.4 1.33967578141e-05
338.5 1.30824447566e-05
338.6 1.27650092632e-05
338.7 1.24444357048e-05
338.8 1.21207084061e-05
338.9 1.17938116453e-05
339.0 1.14637296538e-05
339.1 1.16257906365e-05
339.2 1.17886936254e-05
339.3 1.19524413434e-05
339.4 1.21170365184e-05
339.5 1.22824818841e-05
339.6 1.24487801796e-05
339.7 1.26159341493e-05
339.8 1.27839465432e-05
339.9 1.29528201169e-05
340.0 1.31225576316e-05
340.1 1.57782948695e-05
340.2 1.84444800115e-05
340.3 2.11211299244e-05
340.4 2.38082614799e-05
340.5 2.65058915549e-05
340.6 2.92140370306e-05
340.7 3.19327147934e-05
340.8 3.46619417346e-05
340.9 3.740173475e-05
341.0 4.01521107403e-05
341.1 3.93046697976e-05
341.2 3.84530606092e-05
341.3 3.75972754614e-05
341.4 3.67373066375e-05
341.5 3.58731464183e-05
341.6 3.50047870818e-05
341.7 3.41322209034e-05
341.8 3.32554401559e-05
341.9 3.23744371095e-05
342.0 3.14892040314e-05
342.1 3.01715404895e-05
342.2 2.88492483901e-05
342.3 2.75223210153e-05
342.4 2.61907516448e-05
342.5 2.4854533556e-05
342.6 2.35136600243e-05
342.7 2.21681243226e-05
342.8 2.08179197215e-05
342.9 1.94630394897e-05
343.0 1.81034768934e-05
343.1 1.81264699588e-05
343.2 1.81494771343e-05
343.3 1.81724984223e-05
343.4 1.81955338253e-05
343.5 1.82185833457e-05
343.6 1.8241646986e-05
343.7 1.82647247486e-05
343.8 1.8287816636e-05
343.9 1.83109226505e-05
344.0 1.83340427951e-05
344.1 2.13397250046e-05
344.2 2.43577125112e-05
344.3 2.73880268681e-05
344.4 3.04306896387e-05
344.5 3.34857223965e-05
344.6 3.65531467252e-05
344.7 3.96329842185e-05
344.8 4.272525648e-05
344.9 4.58299851239e-05
345.0 4.89471917735e-05
345.1 4.84692203823e-05
345.2 4.79890314596e-05
345.3 4.75066209674e-05
345.4 4.70219848657e-05
345.5 4.65351191123e-05
345.6 4.6046019663e-05
345.7 4.55546824716e-05
345.8 4.50611034896e-05
345.9 4.45652786665e-05
346.0 4.40672039496e-05
346.1 4.22327643954e-05
346.2 4.03915940343e-05
346.3 3.85436820443e-05
346.4 3.66890175973e-05
346.5 3.48275898597e-05
346.6 3.2959387992e-05
346.7 3.10844011489e-05
346.8 2.92026184794e-05
346.9 2.73140291267e-05
347.0 2.5418622229e-05
347.1 3.16031731203e-05
347.2 3.78088462363e-05
347.3 4.40356745781e-05
347.4 5.02836911658e-05
347.5 5.65529290389e-05
347.6 6.28434212563e-05
347.7 6.91552008957e-05
347.8 7.54883010546e-05
347.9 8.18427548492e-05
348.0 8.82185954146e-05
348.1 8.76225807057e-05
348.2 8.70238929563e-05
348.3 8.64225273185e-05
348.4 8.58184789416e-05
348.5 8.52117429714e-05
348.6 8.46023145506e-05
348.7 8.39901888186e-05
348.8 8.33753609117e-05
348.9 8.2757825963e-05
349.0 8.21375791019e-05
349.1 7.87130484847e-05
349.2 7.52759703195e-05
349.3 7.18263235357e-05
349.4 6.83640870486e-05
349.5 6.4889239759e-05
349.6 6.14017605533e-05
349.7 5.79016283038e-05
349.8 5.4388821868e-05
349.9 5.08633200895e-05
350.0 4.73251017972e-05
350.1 4.39370573408e-05
350.2 4.05360586235e-05
350.3 3.71220805916e-05
350.4 3.36950981664e-05
350.5 3.02550862438e-05
350.6 2.68020196944e-05
350.7 2.33358733634e-05
350.8 1.98566220709e-05
350.9 1.63642406114e-05
351.0 1.28587037548e-05
351.1 1.25605276501e-05
351.2 1.2261186151e-05
351.3 1.19606769867e-05
351.4 1.1658997884e-05
351.5 1.13561465674e-05
351.6 1.10521207589e-05
351.7 1.07469181785e-05
351.8 1.04405365433e-05
351.9 1.01329735685e-05
352.0 9.82422696671e-06
352.1 1.03365970364e-05
352.2 1.08510135103e-05
352.3 1.13674806825e-05
352.4 1.18860028521e-05
352.5 1.24065843228e-05
352.6 1.29292294031e-05
352.7 1.34539424067e-05
352.8 1.39807276516e-05
352.9 1.45095894611e-05
353.0 1.50405321628e-05
353.1 1.50693861233e-05
353.2 1.50982786512e-05
353.3 1.51272097782e-05
353.4 1.51561795363e-05
353.5 1.51851879574e-05
353.6 1.52142350733e-05
353.7 1.52433209161e-05
353.8 1.52724455177e-05
353.9 1.53016089099e-05
354.0 1.53308111247e-05
354.1 1.41656532679e-05
354.2 1.29959347722e-05
354.3 1.18216463198e-05
354.4 1.06427785817e-05
354.5 9.4593222187e-06
354.6 8.2712678806e-06
354.7 7.07860620664e-06
354.8 5.88132782532e-06
354.9 4.67942335443e-06
355.0 3.47288340118e-06
355.1 3.3056280975e-06
355.2 3.13770857965e-06
355.3 2.96912347152e-06
355.4 2.79987139534e-06
355.5 2.62995097178e-06
355.6 2.45936081984e-06
355.7 2.28809955693e-06
355.8 2.11616579881e-06
355.9 1.94355815965e-06
356.0 1.770275252e-06
356.1 1.77357622904e-06
356.2 1.77688159851e-06
356.3 1.78019136424e-06
356.4 1.78350553008e-06
356.5 1.78682409986e-06
356.6 1.79014707745e-06
356.7 1.79347446668e-06
356.8 1.79680627141e-06
356.9 1.8001424955e-06
357.0 1.8034831428e-06
357.1 1.8070031351e-06
357.2 1.81052805992e-06
357.3 1.81405792182e-06
357.4 1.81759272536e-06
357.5 1.82113247513e-06
357.6 1.8246771757e-06
357.7 1.82822683165e-06
357.8 1.83178144755e-06
357.9 1.83534102798e-06
358.0 1.83890557755e-06
358.1 1.84250133429e-06
358.2 1.84610216054e-06
358.3 1.84970806105e-06
358.4 1.8533190406e-06
358.5 1.85693510394e-06
358.6 1.86055625586e-06
358.7 1.86418250113e-06
358.8 1.86781384452e-06
358.9 1.87145029082e-06
359.0 1.8750918448e-06
359.1 1.87866320785e-06
359.2 1.8822395206e-06
359.3 1.88582078774e-06
359.4 1.88940701393e-06
359.5 1.89299820386e-06
359.6 1.89659436222e-06
359.7 1.90019549368e-06
359.8 1.90380160295e-06
359.9 1.90741269471e-06
360.0 1.91102877365e-06
360.1 1.9141167015e-06
360.2 1.91720793116e-06
360.3 1.92030246472e-06
360.4 1.92340030427e-06
360.5 1.92650145188e-06
360.6 1.92960590965e-06
360.7 1.93271367967e-06
360.8 1.93582476403e-06
360.9 1.93893916481e-06
361.0 1.9420568841e-06
361.1 1.94523013415e-06
361.2 1.94840683169e-06
361.3 1.95158697895e-06
361.4 1.95477057816e-06
361.5 1.95795763156e-06
361.6 1.96114814135e-06
361.7 1.96434210979e-06
361.8 1.96753953909e-06
361.9 1.97074043148e-06
362.0 1.97394478924e-06
362.1 2.1748808617e-06
362.2 2.37646508661e-06
362.3 2.57869852359e-06
362.4 2.78158223321e-06
362.5 2.98511727698e-06
362.6 3.18930471733e-06
362.7 3.39414561765e-06
362.8 3.59964104226e-06
362.9 3.80579205642e-06
363.0 4.01259972629e-06
363.1 3.81810922822e-06
363.2 3.62297878341e-06
363.3 3.42720734332e-06
363.4 3.23079385849e-06
363.5 3.03373727851e-06
363.6 2.83603655202e-06
363.7 2.63769062675e-06
363.8 2.43869844945e-06
363.9 2.23905896595e-06
364.0 2.03877112117e-06
364.1 2.04198498647e-06
364.2 2.04520229585e-06
364.3 2.04842305167e-06
364.4 2.05164725628e-06
364.5 2.05487491202e-06
364.6 2.05810602124e-06
364.7 2.0613405863e-06
364.8 2.06457860955e-06
364.9 2.06782009334e-06
365.0 2.07106504006e-06
365.1 2.28188826289e-06
365.2 2.49339175899e-06
365.3 2.70557665833e-06
365.4 2.91844409192e-06
365.5 3.13199519184e-06
365.6 3.34623109119e-06
365.7 3.56115292414e-06
365.8 3.77676182593e-06
365.9 3.99305893282e-06
366.0 4.21004538215e-06
366.1 4.42764498941e-06
366.2 4.64592872264e-06
366.3 4.86489770457e-06
366.4 5.08455305899e-06
366.5 5.30489591074e-06
366.6 5.52592738571e-06
366.7 5.74764861085e-06
366.8 5.97006071417e-06
366.9 6.19316482475e-06
367.0 6.41696207283e-06
367.1 7.49833238297e-06
367.2 8.58311088295e-06
367.3 9.67130315971e-06
367.4 1.07629148055e-05
367.5 1.18579514179e-05
367.6 1.29564185998e-05
367.7 1.40583219594e-05
367.8 1.51636671104e-05
367.9 1.62724596716e-05
368.0 1.7384705267e-05
368.1 1.76300150299e-05
368.2 1.78760473903e-05
368.3 1.81228035132e-05
368.4 1.83702845644e-05
368.5 1.86184917111e-05
368.6 1.88674261213e-05
368.7 1.91170889644e-05
368.8 1.93674814108e-05
368.9 1.96186046318e-05
369.0 1.98704598e-05
369.1 1.94595602141e-05
369.2 1.90472996047e-05
369.3 1.86336757e-05
369.4 1.82186862263e-05
369.5 1.78023289076e-05
369.6 1.73846014656e-05
369.7 1.69655016199e-05
369.8 1.65450270877e-05
369.9 1.61231755843e-05
370.0 1.56999448227e-05
370.1 1.59495197922e-05
370.2 1.61998357685e-05
370.3 1.64508939654e-05
370.4 1.6702695598e-05
370.5 1.69552418826e-05
370.6 1.72085340367e-05
370.7 1.7462573279e-05
370.8 1.77173608294e-05
370.9 1.7972897909e-05
371.0 1.82291857404e-05
371.1 1.98547459557e-05
371.2 2.14852509875e-05
371.3 2.31207088467e-05
371.4 2.47611275519e-05
371.5 2.64065151299e-05
371.6 2.80568796152e-05
371.7 2.97122290501e-05
371.8 3.13725714853e-05
371.9 3.30379149788e-05
372.0 3.47082675964e-05
372.1 3.19823807845e-05
372.2 2.92477156478e-05
372.3 2.65042573536e-05
372.4 2.3751991054e-05
372.5 2.09909018862e-05
372.6 1.82209749724e-05
372.7 1.54421954197e-05
372.8 1.265454832e-05
372.9 9.85801875037e-06
373.0 7.05259177303e-06
373.1 7.06367920233e-06
373.2 7.07477897242e-06
373.3 7.08589109265e-06
373.4 7.09701557239e-06
373.5 7.10815242101e-06
373.6 7.11930164787e-06
373.7 7.13046326236e-06
373.8 7.14163727385e-06
373.9 7.15282369174e-06
374.0 7.16402252594e-06
374.1 1.02841825756e-05
374.2 1.34138883322e-05
374.3 1.65531553302e-05
374.4 1.97019991195e-05
374.5 2.28604352655e-05
374.6 2.6028479349e-05
374.7 2.92061469662e-05
374.8 3.2393453729e-05
374.9 3.55904152646e-05
375.0 3.87970472148e-05
375.1 3.66694093478e-05
375.2 3.4535305863e-05
375.3 3.23947264468e-05
375.4 3.02476607752e-05
375.5 2.80940985141e-05
375.6 2.59340293193e-05
375.7 2.37674428365e-05
375.8 2.15943287014e-05
375.9 1.94146765392e-05
376.0 1.72284759654e-05
376.1 1.67622335709e-05
376.2 1.6294489577e-05
376.3 1.58252414767e-05
376.4 1.53544867606e-05
376.5 1.48822229167e-05
376.6 1.44084474304e-05
376.7 1.39331577848e-05
376.8 1.34563514602e-05
376.9 1.29780259346e-05
377.0 1.24981786834e-05
377.1 1.30180659147e-05
377.2 1.35395111036e-05
377.3 1.40625167749e-05
377.4 1.45870854561e-05
377.5 1.51132196768e-05
377.6 1.56409219693e-05
377.7 1.61701948684e-05
377.8 1.67010409114e-05
377.9 1.72334626382e-05
378.0 1.77674625908e-05
378.1 1.80476703552e-05
378.2 1.83286491368e-05
378.3 1.86104001111e-05
378.4 1.88929244546e-05
378.5 1.91762233449e-05
378.6 1.94602979607e-05
378.7 1.97451494818e-05
378.8 2.00307790891e-05
378.9 2.03171879649e-05
379.0 2.0604377292e-05
379.1 1.98604508994e-05
379.2 1.91143135447e-05
379.3 1.83659618002e-05
379.4 1.76153922348e-05
379.5 1.68626014141e-05
379.6 1.61075859004e-05
379.7 1.5350342253e-05
379.8 1.45908670277e-05
379.9 1.38291567769e-05
380.0 1.30652080503e-05
380.1 1.3874729798e-05
380.2 1.46871896541e-05
380.3 1.55025939225e-05
380.4 1.63209489162e-05
380.5 1.71422609571e-05
380.6 1.79665363765e-05
380.7 1.87937815146e-05
380.8 1.96240027208e-05
380.9 2.04572063538e-05
381.0 2.12933987811e-05
381.1 2.15990775989e-05
381.2 2.19057890526e-05
381.3 2.22135352914e-05
381.4 2.25223184676e-05
381.5 2.28321407365e-05
381.6 2.31430042566e-05
381.7 2.34549111892e-05
381.8 2.37678636988e-05
381.9 2.4081863953e-05
382.0 2.43969141222e-05
382.1 2.38980996001e-05
382.2 2.33973750198e-05
382.3 2.28947362645e-05
382.4 2.23901792115e-05
382.5 2.18836997324e-05
382.6 2.13752936926e-05
382.7 2.08649569518e-05
382.8 2.03526853636e-05
382.9 1.98384747758e-05
383.0 1.93223210306e-05
383.1 2.07390657591e-05
383.2 2.21607412869e-05
383.3 2.35873577244e-05
383.4 2.50189251962e-05
383.5 2.64554538405e-05
383.6 2.78969538098e-05
383.7 2.93434352705e-05
383.8 3.0794908403e-05
383.9 3.22513834017e-05
384.0 3.37128704747e-05
384.1 3.29282859724e-05
384.2 3.21407930627e-05
384.3 3.13503856574e-05
384.4 3.05570576593e-05
384.5 2.97608029633e-05
384.6 2.89616154554e-05
384.7 2.81594890134e-05
384.8 2.73544175063e-05
