# Version 2.1 - nm, norm@500 to 1, cut digits
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 0.01122729
300.10 0.01492387
300.20 0.01717485
300.30 0.01810534
300.40 0.01834867
300.50 0.01841972
300.60 0.01849077
300.70 0.01856256
300.80 0.01863801
300.90 0.01872277
301.00 0.01882305
301.10 0.01894159
301.20 0.01907564
301.30 0.01921901
301.40 0.01936604
301.50 0.01951381
301.60 0.01966158
301.70 0.01980934
301.80 0.01995711
301.90 0.02010488
302.00 0.02025265
302.10 0.02040041
302.20 0.02054818
302.30 0.02069595
302.40 0.02084372
302.50 0.02099148
302.60 0.02113925
302.70 0.02128758
302.80 0.02143869
302.90 0.02159686
303.00 0.02176682
303.10 0.02195065
303.20 0.02214625
303.30 0.02234892
303.40 0.02255438
303.50 0.02276039
303.60 0.02296641
303.70 0.02317242
303.80 0.02337844
303.90 0.02358445
304.00 0.02379047
304.10 0.02399648
304.20 0.0242025
304.30 0.02440851
304.40 0.02461453
304.50 0.02482054
304.60 0.02502656
304.70 0.02523086
304.80 0.02542666
304.90 0.02560083
305.00 0.02573897
305.10 0.02583471
305.20 0.02589441
305.30 0.0259325
305.40 0.02596207
305.50 0.02598993
305.60 0.02601779
305.70 0.02604566
305.80 0.02607352
305.90 0.02610138
306.00 0.02612925
306.10 0.02615711
306.20 0.02618497
306.30 0.02621284
306.40 0.0262407
306.50 0.02626856
306.60 0.02629642
306.70 0.02632429
306.80 0.02635218
306.90 0.02638011
307.00 0.02640812
307.10 0.02643622
307.20 0.0264644
307.30 0.02649263
307.40 0.02652088
307.50 0.02654913
307.60 0.02657738
307.70 0.02660563
307.80 0.02663388
307.90 0.02666213
308.00 0.02669038
308.10 0.02671863
308.20 0.02674688
308.30 0.02677513
308.40 0.02680338
308.50 0.02683163
308.60 0.02685988
308.70 0.0268924
308.80 0.02694623
308.90 0.02705418
309.00 0.02725228
309.10 0.02755655
309.20 0.02795097
309.30 0.0283995
309.40 0.02886935
309.50 0.02934347
309.60 0.02981759
309.70 0.03029171
309.80 0.03076583
309.90 0.03123994
310.00 0.03171406
310.10 0.03218818
310.20 0.0326623
310.30 0.03313642
310.40 0.03361054
310.50 0.03408466
310.60 0.03455877
310.70 0.0350286
310.80 0.035477
310.90 0.035871
311.00 0.03617437
311.10 0.03637102
311.20 0.03647704
311.30 0.03652866
311.40 0.03655885
311.50 0.03658475
311.60 0.03661066
311.70 0.03663656
311.80 0.03666246
311.90 0.03668836
312.00 0.03671426
312.10 0.03674016
312.20 0.03676606
312.30 0.03679196
312.40 0.03681786
312.50 0.03684377
312.60 0.03686967
312.70 0.03690087
312.80 0.03695853
312.90 0.03708339
313.00 0.03732017
313.10 0.03768876
313.20 0.03816928
313.30 0.03871699
313.40 0.03929117
313.50 0.03987064
313.60 0.04045012
313.70 0.04102959
313.80 0.04160907
313.90 0.04218854
314.00 0.04276801
314.10 0.04334749
314.20 0.04392696
