# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=Hipparcos (MVB 2014 version)
# Wavelength(nm) Transmission(0-1)
346.05 0.000000
351.86 0.024000
357.67 0.045000
363.49 0.067000
369.31 0.093000
375.13 0.125000
380.96 0.161000
386.79 0.198000
392.62 0.235000
398.46 0.275000
404.30 0.319000
410.15 0.364000
415.99 0.409000
421.85 0.454000
427.70 0.503000
433.56 0.556000
439.43 0.614000
445.29 0.675000
451.16 0.733000
457.04 0.786000
462.91 0.835000
468.79 0.883000
474.68 0.925000
480.56 0.957000
486.46 0.979000
492.35 0.992000
498.25 0.999000
504.15 1.000000
510.05 0.997000
515.96 0.990000
521.87 0.981000
527.78 0.968000
533.70 0.952000
539.62 0.933000
545.54 0.913000
551.46 0.892000
557.39 0.871000
563.32 0.849000
569.26 0.825000
575.20 0.801000
581.14 0.777000
587.08 0.753000
593.03 0.729000
598.98 0.704000
604.93 0.680000
610.88 0.656000
616.84 0.632000
622.80 0.608000
628.77 0.584000
634.73 0.561000
640.70 0.538000
646.68 0.516000
652.65 0.494000
658.63 0.473000
664.61 0.452000
670.59 0.432000
676.58 0.412000
682.57 0.392000
688.56 0.373000
694.55 0.354000
700.55 0.336000
706.55 0.318000
712.55 0.300000
718.56 0.282000
724.56 0.264000
730.57 0.247000
736.58 0.230000
742.60 0.215000
748.62 0.200000
754.64 0.185000
760.66 0.171000
766.68 0.158000
772.71 0.145000
778.74 0.133000
784.77 0.122000
790.81 0.112000
796.84 0.103000
802.88 0.094000
808.93 0.086000
814.97 0.078000
821.02 0.071000
827.06 0.064000
833.12 0.057000
839.17 0.050000
845.23 0.044000
851.28 0.038000
857.34 0.032000
863.41 0.028000
869.47 0.024000
875.54 0.020000
881.61 0.017000
887.68 0.015000
893.75 0.013000
899.83 0.011000
905.91 0.009000
911.99 0.006000
918.07 0.004000
924.16 0.003000
930.24 0.001000
