# $LastChangedRevision$
# $Id$
# Imsim goal throughputs, v1.0 (equivalent to Docushare 1089, v4, with update on lens 3)
# Wavelength(nm)  Throughput(0-1)
300.0 4.47676671316e-09
300.1 5.29846151895e-09
300.2 6.19377599452e-09
300.3 7.16416176844e-09
300.4 8.21108531888e-09
300.5 9.33602805367e-09
300.6 1.05404863906e-08
300.7 1.18259718379e-08
300.8 1.31940110745e-08
300.9 1.46461460312e-08
301.0 1.61839339709e-08
301.1 2.48760616613e-08
301.2 3.44678376589e-08
301.3 4.49771750407e-08
301.4 5.64221711379e-08
301.5 6.8821108547e-08
301.6 8.21924561438e-08
301.7 9.65548700984e-08
301.8 1.11927194893e-07
301.9 1.2832846434e-07
302.0 1.45777902605e-07
302.1 1.48997153216e-07
302.2 1.51672474399e-07
302.3 1.5379287149e-07
302.4 1.55347243783e-07
302.5 1.56324383984e-07
302.6 1.5671297767e-07
302.7 1.56501602743e-07
302.8 1.55678728881e-07
302.9 1.54232716991e-07
303.0 1.52151818661e-07
303.1 1.64956354878e-07
303.2 1.78346053377e-07
303.3 1.92329492862e-07
303.4 2.0691532123e-07
303.5 2.22112255879e-07
303.6 2.37929084024e-07
303.7 2.54374663009e-07
303.8 2.71457920625e-07
303.9 2.89187855421e-07
304.0 3.07573537024e-07
304.1 3.57612954904e-07
304.2 4.11054452409e-07
304.3 4.67950730439e-07
304.4 5.28354926452e-07
304.5 5.923206165e-07
304.6 6.59901817273e-07
304.7 7.31152988143e-07
304.8 8.06129033213e-07
304.9 8.84885303375e-07
305.0 9.67477598367e-07
305.1 9.21669592657e-07
305.2 8.71505689293e-07
305.3 8.16920619312e-07
305.4 7.57848598162e-07
305.5 6.94223323391e-07
305.6 6.25977972319e-07
305.7 5.53045199717e-07
305.8 4.7535713547e-07
305.9 3.9284538224e-07
306.0 3.05441013127e-07
306.1 2.90383369147e-07
306.2 2.73774067449e-07
306.3 2.55590871094e-07
306.4 2.35811375194e-07
306.5 2.14413006191e-07
306.6 1.91373021116e-07
306.7 1.66668506858e-07
306.8 1.40276379432e-07
306.9 1.12173383235e-07
307.0 8.23360903235e-08
307.1 6.18074335455e-07
307.2 1.18347285806e-06
307.3 1.77892549977e-06
307.4 2.4048289639e-06
307.5 3.06158282767e-06
307.6 3.74958955447e-06
307.7 4.46925450614e-06
307.8 5.2209859553e-06
307.9 6.00519509766e-06
308.0 6.82229606436e-06
308.1 6.28826689226e-06
308.2 5.72795284402e-06
308.3 5.14102110667e-06
308.4 4.52713653055e-06
308.5 3.88596161956e-06
308.6 3.21715652133e-06
308.7 2.52037901738e-06
308.8 1.79528451332e-06
308.9 1.04152602892e-06
309.0 2.58754188277e-07
309.1 2.78988962604e-07
309.2 2.9997999805e-07
309.3 3.21735971498e-07
309.4 3.44265616089e-07
309.5 3.67577721442e-07
309.6 3.91681133876e-07
309.7 4.16584756633e-07
309.8 4.42297550097e-07
309.9 4.68828532021e-07
310.0 4.96186777745e-07
310.1 4.8700164768e-07
310.2 4.77361064675e-07
310.3 4.6725972144e-07
310.4 4.56692276249e-07
310.5 4.45653352802e-07
310.6 4.3413754009e-07
310.7 4.22139392259e-07
310.8 4.09653428474e-07
310.9 3.96674132781e-07
311.0 3.83195953972e-07
311.1 4.29343624225e-07
311.2 4.76972817017e-07
311.3 5.26098363384e-07
311.4 5.76735178879e-07
311.5 6.28898263863e-07
311.6 6.82602703807e-07
311.7 7.37863669587e-07
311.8 7.94696417782e-07
311.9 8.53116290974e-07
312.0 9.13138718054e-07
312.1 1.23012637574e-06
312.2 1.55721177925e-06
312.3 1.89450210017e-06
312.4 2.24210516574e-06
312.5 2.60012946138e-06
312.6 2.96868413314e-06
312.7 3.34787899023e-06
312.8 3.73782450748e-06
312.9 4.13863182789e-06
313.0 4.55041276504e-06
313.1 4.27658808183e-06
313.2 3.99582165309e-06
313.3 3.70805142282e-06
313.4 3.41321501163e-06
313.5 3.11124971578e-06
313.6 2.80209250605e-06
313.7 2.48568002669e-06
313.8 2.16194859439e-06
313.9 1.83083419721e-06
314.0 1.49227249349e-06
314.1 1.39516369776e-06
314.2 1.29432067119e-06
314.3 1.18970416138e-06
314.4 1.08127468259e-06
314.5 9.68992514939e-07
314.6 8.52817703475e-07
314.7 7.32710057369e-07
314.8 6.08629149028e-07
314.9 4.80534313238e-07
315.0 3.48384646302e-07
315.1 3.16183286216e-07
315.2 2.83408452142e-07
315.3 2.5005547909e-07
315.4 2.16119678743e-07
315.5 1.81596339386e-07
315.6 1.4648072583e-07
315.7 1.10768079333e-07
315.8 7.44536175334e-08
315.9 3.75325343677e-08
316.0 1.37660666497e-18
316.1 3.83090228266e-08
316.2 7.75617548132e-08
316.3 1.17766349443e-07
316.4 1.58931001083e-07
316.5 2.01063945119e-07
316.6 2.44173458078e-07
316.7 2.8826785776e-07
316.8 3.33355503366e-07
316.9 3.7944479563e-07
317.0 4.26544176963e-07
317.1 1.03117450185e-06
317.2 1.64457578394e-06
317.3 2.26681210677e-06
317.4 2.8979478481e-06
317.5 3.53804768084e-06
317.6 4.18717657384e-06
317.7 4.84539979284e-06
317.8 5.51278290131e-06
317.9 6.1893917613e-06
318.0 6.87529253435e-06
318.1 6.27209854838e-06
318.2 5.65060507415e-06
318.3 5.01064794843e-06
318.4 4.3520621725e-06
318.5 3.67468190952e-06
318.6 2.97834048191e-06
318.7 2.26287036872e-06
318.8 1.52810320298e-06
318.9 7.73869769036e-07
319.0 0.0
319.1 0.0
319.2 0.0
319.3 0.0
319.4 0.0
319.5 0.0
319.6 0.0
319.7 0.0
319.8 0.0
319.9 0.0
320.0 0.0
320.1 0.0
320.2 0.0
320.3 0.0
320.4 0.0
320.5 0.0
320.6 0.0
320.7 0.0
320.8 0.0
320.9 0.0
321.0 0.0
321.1 0.0
321.2 0.0
321.3 0.0
321.4 0.0
321.5 0.0
321.6 0.0
321.7 0.0
321.8 0.0
321.9 0.0
322.0 0.0
322.1 0.0
322.2 0.0
322.3 0.0
322.4 0.0
322.5 0.0
322.6 0.0
322.7 0.0
322.8 0.0
322.9 0.0
323.0 0.0
323.1 0.0
323.2 0.0
323.3 0.0
323.4 0.0
323.5 0.0
323.6 0.0
323.7 0.0
323.8 0.0
323.9 0.0
324.0 0.0
324.1 0.0
324.2 0.0
324.3 0.0
324.4 0.0
324.5 0.0
324.6 0.0
324.7 0.0
324.8 0.0
324.9 0.0
325.0 0.0
325.1 0.0
325.2 0.0
325.3 0.0
325.4 0.0
325.5 0.0
325.6 0.0
325.7 0.0
325.8 0.0
325.9 0.0
326.0 1.42102452932e-17
326.1 2.4183236778e-07
326.2 4.865916069e-07
326.3 7.34293880005e-07
326.4 9.84955401651e-07
326.5 1.23859243842e-06
326.6 1.49522130902e-06
326.7 1.75485838438e-06
326.8 2.01752008773e-06
326.9 2.28322289475e-06
327.0 2.5519833336e-06
327.1 2.89387522033e-06
327.2 3.23613455445e-06
327.3 3.57875638042e-06
327.4 3.92173571696e-06
327.5 4.26506755711e-06
327.6 4.60874686806e-06
327.7 4.95276859118e-06
327.8 5.29712764191e-06
327.9 5.64181890974e-06
328.0 5.98683725807e-06
328.1 5.43167819921e-06
328.2 4.86700146679e-06
328.3 4.29274946829e-06
328.4 3.70886441995e-06
