# $LastChangedRevision$
# $Id$
# Imsim goal throughputs, v1.0 (equivalent to Docushare 1089, v4, with update on lens 3)
# Wavelength(nm)  Throughput(0-1)
300.0 2.23838335658e-08
300.1 2.55289509549e-08
300.2 2.89042879744e-08
300.3 3.25142726414e-08
300.4 3.63633778407e-08
300.5 4.04561215659e-08
300.6 4.47970671601e-08
300.7 4.93908235583e-08
300.8 5.42420455287e-08
300.9 5.93554339159e-08
301.0 6.47357358836e-08
301.1 6.94814136056e-08
301.2 7.43779654745e-08
301.3 7.94277771996e-08
301.4 8.46332567068e-08
301.5 8.99968342537e-08
301.6 9.55209625455e-08
301.7 1.0120811685e-07
301.8 1.07060795115e-07
301.9 1.13081518081e-07
302.0 1.19272829404e-07
302.1 1.23695749839e-07
302.2 1.27880713709e-07
302.3 1.31822461277e-07
302.4 1.35515680747e-07
302.5 1.38955007986e-07
302.6 1.42135026259e-07
302.7 1.45050265957e-07
302.8 1.47695204323e-07
302.9 1.50064265181e-07
303.0 1.52151818662e-07
303.1 1.69475707067e-07
303.2 1.87732687765e-07
303.3 2.06936796117e-07
303.4 2.27102181838e-07
303.5 2.48243109512e-07
303.6 2.70373959118e-07
303.7 2.93509226549e-07
303.8 3.17663524136e-07
303.9 3.4285158117e-07
304.0 3.69088244429e-07
304.1 3.76943384899e-07
304.2 3.84100062087e-07
304.3 3.90545346456e-07
304.4 3.96266194838e-07
304.5 4.01249449887e-07
304.6 4.05481839529e-07
304.7 4.08949976418e-07
304.8 4.11640357385e-07
304.9 4.13539362883e-07
305.0 4.14633256443e-07
305.1 4.32329551195e-07
305.2 4.50441142781e-07
305.3 4.68972948124e-07
305.4 4.87929919365e-07
305.5 5.07317044017e-07
305.6 5.27139345112e-07
305.7 5.47401881354e-07
305.8 5.6810974727e-07
305.9 5.89268073362e-07
306.0 6.10882026256e-07
306.1 7.5752183256e-07
306.2 9.12580224835e-07
306.3 1.07617208882e-06
306.4 1.2484131628e-06
306.5 1.42942004128e-06
306.6 1.61931017868e-06
306.7 1.81820189301e-06
306.8 2.02621436958e-06
306.9 2.24346766471e-06
307.0 2.47008270946e-06
307.1 2.4807641135e-06
307.2 2.48877380443e-06
