# $LastChangedRevision$
# $Id$
# Imsim goal throughputs, v1.0 (equivalent to Docushare 1089, v4, with update on lens 3)
# Wavelength(nm)  Throughput(0-1)
300.0 5.28258472153e-06
300.1 5.44296501492e-06
300.2 5.57439839507e-06
300.3 5.67622047807e-06
300.4 5.74775972321e-06
300.5 5.78833739327e-06
300.6 5.79726751484e-06
300.7 5.7738568385e-06
300.8 5.71740479897e-06
300.9 5.62720347515e-06
301.0 5.50253755011e-06
301.1 5.97797495577e-06
301.2 6.47451118972e-06
301.3 6.99251527708e-06
301.4 7.5323598469e-06
301.5 8.09442115141e-06
301.6 8.67907908524e-06
301.7 9.28671720476e-06
301.8 9.91772274744e-06
301.9 1.05724866512e-05
302.0 1.12514035738e-05
302.1 1.07826147388e-05
302.2 1.01888215155e-05
302.3 9.46767748674e-06
302.4 8.61681413919e-06
302.5 7.63384075121e-06
302.6 6.5163442808e-06
302.7 5.26188925321e-06
302.8 3.86801764835e-06
302.9 2.33224878801e-06
303.0 6.52079222839e-07
303.1 1.26767828886e-06
303.2 1.92895336679e-06
303.3 2.63661823759e-06
303.4 3.39139258211e-06
303.5 4.19400200807e-06
303.6 5.04517807714e-06
303.7 5.94565833209e-06
303.8 6.89618632396e-06
303.9 7.89751163929e-06
304.0 8.9503899274e-06
304.1 8.54082831937e-06
304.2 8.05936270624e-06
304.3 7.50480381973e-06
304.4 6.87595230673e-06
304.5 6.17159868159e-06
304.6 5.39052327844e-06
304.7 4.53149620333e-06
304.8 3.59327728633e-06
304.9 2.57461603342e-06
305.0 1.47425157848e-06
305.1 2.44670020732e-06
305.2 3.47623055843e-06
305.3 4.56366148445e-06
305.4 5.70981820535e-06
305.5 6.91553233688e-06
305.6 8.18164191893e-06
305.7 9.50899144415e-06
305.8 1.08984318864e-05
305.9 1.23508207296e-05
306.0 1.3867021996e-05
306.1 1.61667784432e-05
306.2 1.85905628659e-05
306.3 2.11400554697e-05
306.4 2.38169488947e-05
306.5 2.66229482688e-05
306.6 2.95597712617e-05
306.7 3.26291481382e-05
306.8 3.58328218128e-05
306.9 3.91725479028e-05
307.0 4.26500947833e-05
307.1 3.95567574685e-05
307.2 3.62351542714e-05
307.3 3.26821689805e-05
307.4 2.88946625126e-05
307.5 2.48694728153e-05
307.6 2.06034147682e-05
307.7 1.60932800841e-05
307.8 1.13358372102e-05
307.9 6.32783122932e-06
308.0 1.06598376006e-06
308.1 1.2293670568e-06
308.2 1.39868615959e-06
308.3 1.57401307011e-06
308.4 1.75542028736e-06
308.5 1.94298080979e-06
308.6 2.13676813731e-06
308.7 2.33685627342e-06
308.8 2.54331972723e-06
308.9 2.7562335156e-06
309.0 2.97567316518e-06
309.1 2.82974519212e-06
309.2 2.67254907353e-06
309.3 2.50394516948e-06
309.4 2.32379290859e-06
309.5 2.13195078436e-06
309.6 1.92827635138e-06
309.7 1.71262622171e-06
309.8 1.48485606103e-06
309.9 1.24482058501e-06
310.0 9.92373555566e-07
310.1 4.36622166894e-06
310.2 7.84236034831e-06
310.3 1.1421904302e-05
310.4 1.51059752914e-05
310.5 1.88957021589e-05
310.6 2.27922208548e-05
310.7 2.67966744653e-05
310.8 3.09102132395e-05
310.9 3.51339946178e-05
311.0 3.9469183259e-05
311.1 3.83872231295e-05
311.2 3.72436274619e-05
311.3 3.60377378917e-05
311.4 3.47688922123e-05
311.5 3.34364243619e-05
311.6 3.20396644098e-05
311.7 3.05779385425e-05
311.8 2.90505690499e-05
311.9 2.7456874312e-05
312.0 2.57961687848e-05
312.1 2.45793175829e-05
312.2 2.33109884529e-05
312.3 2.19906129854e-05
312.4 2.06176192414e-05
312.5 1.91914317386e-05
312.6 1.77114714383e-05
312.7 1.61771557313e-05
312.8 1.4587898425e-05
312.9 1.29431097292e-05
313.0 1.12421962431e-05
313.1 1.12057434549e-05
313.2 1.11664057155e-05
313.3 1.11241542685e-05
313.4 1.10789602017e-05
313.5 1.10307944469e-05
313.6 1.09796277788e-05
313.7 1.0925430815e-05
313.8 1.08681740151e-05
313.9 1.08078276803e-05
314.0 1.07443619531e-05
314.1 1.05243870244e-05
314.2 1.02929310519e-05
314.3 1.00498693632e-05
314.4 9.79507653646e-06
314.5 9.52842639692e-06
314.6 9.24979201465e-06
314.7 8.95904570151e-06
314.8 8.65605900845e-06
314.9 8.34070272269e-06
315.0 8.01284686499e-06
315.1 8.2558969179e-06
315.2 8.5022535643e-06
315.3 8.75194176819e-06
315.4 9.00498661435e-06
315.5 9.26141330878e-06
315.6 9.52124717901e-06
315.7 9.78451367455e-06
315.8 1.00512383672e-05
315.9 1.03214469515e-05
316.0 1.05951652453e-05
316.1 1.80052407281e-05
316.2 2.55953790882e-05
316.3 3.3367132342e-05
316.4 4.13220602816e-05
316.5 4.94617304993e-05
316.6 5.77877184118e-05
316.7 6.63016072847e-05
316.8 7.50049882574e-05
316.9 8.3899460367e-05
317.0 9.29866305735e-05
317.1 0.000108101460276
317.2 0.000123429740415
317.3 0.00013897301916
317.4 0.000154732851768
317.5 0.0001707108006
317.6 0.000186908435147
317.7 0.000203327332047
317.8 0.000219969075111
317.9 0.000236835255337
318.0 0.000253927470937
318.1 0.000281036474959
318.2 0.000308805567305
318.3 0.000337240467161
318.4 0.000366346922435
318.5 0.000396130709851
318.6 0.000426597635032
318.7 0.000457753532596
318.8 0.000489604266245
318.9 0.000522155728851
319.0 0.000555413842552
319.1 0.000580412817815
319.2 0.000605556216408
319.3 0.000630844502887
319.4 0.00065627814262
319.5 0.000681857601787
319.6 0.000707583347381
319.7 0.000733455847206
319.8 0.000759475569881
319.9 0.000785642984837
320.0 0.000811958562319
320.1 0.000855340586694
320.2 0.00089963140338
320.3 0.000944837649187
320.4 0.000990965988506
320.5 0.00103802311338
320.6 0.00108601574357
320.7 0.00113495062662
320.8 0.00118483453795
320.9 0.00123567428091
321.0 0.00128747668689
321.1 0.00195804619002
321.2 0.0026324643064
321.3 0.00331074267488
321.4 0.00399289295139
321.5 0.00467892680889
321.6 0.00536885593734
321.7 0.00606269204376
321.8 0.00676044685217
321.9 0.00746213210361
322.0 0.00816775955614
322.1 0.00891361203597
322.2 0.00966819619513
322.3 0.0104315648603
322.4 0.0112037710566
322.5 0.0119848680083
322.6 0.0127749091392
322.7 0.0135739480727
322.8 0.0143820386331
322.9 0.0151992348451
323.0 0.0160255909351
323.1 0.0159930421871
323.2 0.015956982971
323.3 0.0159173854998
323.4 0.0158742218738
323.5 0.01582746408
323.6 0.0157770839926
323.7 0.0157230533717
323.8 0.0156653438639
323.9 0.0156039270016
324.0 0.0155387742029
324.1 0.0160735986263
324.2 0.0166082796059
324.3 0.0171428027338
324.4 0.0176771535311
324.5 0.0182113174478
324.6 0.0187452798623
324.7 0.0192790260817
324.8 0.0198125413411
324.9 0.0203458108038
325.0 0.0208788195611
325.1 0.021243848435
325.2 0.0216127261367
325.3 0.0219854739131
325.4 0.0223621130816
325.5 0.02274266503
325.6 0.0231271512167
325.7 0.0235155931708
325.8 0.0239080124921
325.9 0.0243044308518
326.0 0.0247048699917
326.1 0.0242555446545
326.2 0.0237995198872
326.3 0.0233367569764
326.4 0.0228672170821
326.5 0.0223908612373
326.6 0.0219076503481
326.7 0.021417545193
326.8 0.0209205064229
326.9 0.0204164945608
327.0 0.019905470002
327.1 0.0217515577516
327.2 0.0235995963997
327.3 0.0254495591229
327.4 0.027301418959
327.5 0.0291551488068
327.6 0.0310107214262
327.7 0.0328681094372
327.8 0.03472728532
327.9 0.0365882214149
328.0 0.0384508899215
328.1 0.0403149502003
328.2 0.0422052461486
328.3 0.0441219303212
328.4 0.0460651557719
328.5 0.0480350760541
328.6 0.0500318452218
328.7 0.0520556178306
328.8 0.0541065489386
328.9 0.0561847941071
329.0 0.0582905094019
329.1 0.0574506208838
329.2 0.0566027590128
329.3 0.0557468876845
329.4 0.0548829706978
329.5 0.0540109717548
329.6 0.0531308544603
329.7 0.052242582322
329.8 0.05134611875
329.9 0.0504414270572
330.0 0.0495284704586
330.1 0.0511127048591
330.2 0.0527001942232
330.3 0.054290930955
330.4 0.0558849074069
330.5 0.0574821158793
330.6 0.0590825486203
330.7 0.060686197826
330.8 0.0622930556401
330.9 0.0639031141538
331.0 0.0655163654056
331.1 0.0647290903508
331.2 0.0639294567601
331.3 0.063117400499
331.4 0.0622928572566
331.5 0.0614557625454
331.6 0.060606051701
331.7 0.0597436598816
331.8 0.0588685220681
331.9 0.0579805730635
332.0 0.0570797474931
332.1 0.057306400855
332.2 0.0575336952484
332.3 0.0577616319262
332.4 0.0579902121429
332.5 0.0582194371545
332.6 0.0584493082187
332.7 0.0586798265945
332.8 0.058910993543
332.9 0.0591428103263
333.0 0.0593752782087
333.1 0.0611289521277
333.2 0.0628879190168
333.3 0.064652183585
333.4 0.0664217505311
333.5 0.0681966245433
333.6 0.0699768102997
333.7 0.0717623124678
333.8 0.0735531357048
333.9 0.0753492846573
334.0 0.0771507639615
334.1 0.0782994415652
334.2 0.0794567515861
334.3 0.0806227286681
334.4 0.0817974075343
334.5 0.0829808229866
334.6 0.0841730099063
334.7 0.0853740032537
334.8 0.0865838380687
334.9 0.0878025494704
335.0 0.0890301726575
335.1 0.0888606143929
335.2 0.0886886879078
335.3 0.088514383433
335.4 0.0883376911778
335.5 0.0881586013299
335.6 0.0879771040555
335.7 0.0877931894989
335.8 0.0876068477831
335.9 0.0874180690092
336.0 0.0872268432567
336.1 0.0874354256295
336.2 0.0876443226835
336.3 0.0878535345719
336.4 0.088063061448
336.5 0.0882729034644
336.6 0.0884830607734
336.7 0.088693533527
336.8 0.0889043218768
