# https://svo2.cab.inta-csic.es/theory/fps/index.php?id=Generic/Cousins.I&&mode=search&search_text=COUSINS#filter
# Wavelength(nm) Transmission(0-1)
700 0.000
705 0.005
710 0.020
715 0.050
720 0.100
725 0.170
730 0.330
735 0.700
740 0.820
745 0.900
750 0.950
755 0.980
760 0.990
765 0.994
770 0.980
775 0.950
780 0.913
785 0.870
790 0.830
795 0.790
800 0.750
805 0.710
810 0.673
815 0.650
820 0.630
825 0.610
830 0.580
835 0.550
840 0.510
845 0.470
850 0.405
855 0.330
860 0.250
865 0.180
870 0.140
875 0.110
880 0.080
885 0.060
890 0.035
895 0.020
900 0.010
905 0.005
910 0.000
