# https://svo2.cab.inta-csic.es/theory/fps/index.php?id=Generic/Cousins.R&&mode=search&search_text=COUSINS#filter
# Wavelength(nm) Transmission(0-1)
540 0.000
545 0.002
550 0.010
555 0.030
560 0.070
565 0.180
570 0.400
575 0.770
580 0.890
585 0.960
590 0.990
595 0.999
600 1.000
605 0.997
610 0.990
615 0.976
620 0.960
625 0.946
630 0.930
635 0.912
640 0.895
645 0.880
650 0.860
655 0.845
660 0.825
665 0.806
670 0.788
675 0.765
680 0.742
685 0.720
690 0.700
695 0.676
700 0.650
705 0.626
710 0.600
715 0.568
720 0.530
725 0.480
730 0.395
735 0.300
740 0.215
745 0.155
750 0.120
755 0.100
760 0.085
765 0.075
770 0.060
775 0.050
780 0.040
785 0.029
790 0.020
795 0.010
800 0.000
