# Date Updated: 12/18/2015
# Source: Mann and Von Braun (2015), PASP, 127, 102 (http://www.jstor.org/stable/10.1086/680012)
# Wavelength(nm) Transmission(0-1)
294.20 0.000000
295.91 0.012000
297.62 0.024000
299.33 0.037000
301.04 0.051000
302.75 0.066000
304.46 0.082000
306.17 0.098000
307.88 0.115000
309.59 0.133000
311.30 0.152000
313.01 0.172000
314.72 0.192000
316.43 0.212000
318.15 0.234000
319.86 0.256000
321.57 0.279000
323.28 0.302000
324.99 0.325000
326.70 0.349000
328.41 0.373000
330.12 0.398000
331.83 0.423000
333.54 0.449000
335.25 0.475000
336.96 0.501000
338.67 0.528000
340.38 0.556000
342.09 0.583000
343.80 0.611000
345.51 0.639000
347.22 0.667000
348.93 0.695000
350.64 0.722000
352.35 0.749000
354.06 0.775000
355.78 0.800000
357.49 0.824000
359.20 0.847000
360.91 0.870000
362.62 0.892000
364.33 0.913000
366.04 0.933000
367.75 0.952000
369.46 0.970000
371.17 0.985000
372.88 0.996000
374.59 1.000000
376.30 0.997000
378.01 0.985000
379.72 0.962000
381.43 0.929000
383.14 0.885000
384.85 0.830000
386.56 0.767000
388.27 0.697000
389.98 0.625000
391.70 0.552000
393.41 0.481000
395.12 0.413000
396.83 0.349000
398.54 0.290000
400.25 0.238000
401.96 0.191000
403.67 0.151000
405.38 0.117000
407.09 0.089000
408.80 0.066000
410.51 0.047000
412.22 0.033000
413.93 0.022000
415.64 0.013000
417.35 0.008000
419.06 0.003000
