# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=PAN-STARRS
# Wavelength(nm) Transmission(0-1)
665.00 0.001000
666.00 0.001000
667.00 0.001000
668.00 0.001000
669.00 0.001000
670.00 0.001000
671.00 0.001000
672.00 0.002000
673.00 0.002000
674.00 0.003000
675.00 0.004000
676.00 0.005000
677.00 0.007000
678.00 0.009000
679.00 0.012000
680.00 0.016000
681.00 0.022000
682.00 0.029000
683.00 0.039000
684.00 0.056000
685.00 0.084000
686.00 0.133000
687.00 0.169000
688.00 0.264000
689.00 0.350000
690.00 0.426000
691.00 0.512000
692.00 0.591000
693.00 0.670000
694.00 0.737000
695.00 0.792000
696.00 0.821000
697.00 0.843000
698.00 0.848000
699.00 0.846000
700.00 0.848000
701.00 0.847000
702.00 0.847000
703.00 0.845000
704.00 0.848000
705.00 0.849000
706.00 0.852000
707.00 0.853000
708.00 0.851000
709.00 0.849000
710.00 0.847000
711.00 0.847000
712.00 0.849000
713.00 0.852000
714.00 0.855000
715.00 0.857000
716.00 0.859000
717.00 0.844000
718.00 0.833000
719.00 0.816000
720.00 0.825000
721.00 0.842000
722.00 0.863000
723.00 0.846000
724.00 0.833000
725.00 0.833000
726.00 0.842000
727.00 0.835000
728.00 0.833000
729.00 0.831000
730.00 0.838000
731.00 0.828000
732.00 0.838000
733.00 0.846000
734.00 0.850000
735.00 0.853000
736.00 0.857000
737.00 0.860000
738.00 0.864000
739.00 0.864000
740.00 0.865000
741.00 0.865000
742.00 0.866000
743.00 0.865000
744.00 0.865000
745.00 0.865000
746.00 0.865000
747.00 0.865000
748.00 0.865000
749.00 0.867000
750.00 0.868000
751.00 0.868000
752.00 0.869000
753.00 0.868000
754.00 0.868000
755.00 0.867000
756.00 0.866000
757.00 0.864000
758.00 0.863000
759.00 0.860000
760.00 0.408000
761.00 0.331000
762.00 0.655000
763.00 0.456000
764.00 0.562000
765.00 0.640000
766.00 0.730000
767.00 0.783000
768.00 0.833000
769.00 0.845000
770.00 0.859000
771.00 0.865000
772.00 0.865000
773.00 0.863000
774.00 0.860000
775.00 0.858000
776.00 0.855000
777.00 0.853000
778.00 0.851000
779.00 0.848000
780.00 0.844000
781.00 0.842000
782.00 0.841000
783.00 0.840000
784.00 0.838000
785.00 0.836000
786.00 0.833000
787.00 0.830000
788.00 0.828000
789.00 0.824000
790.00 0.820000
791.00 0.822000
792.00 0.824000
793.00 0.827000
794.00 0.834000
795.00 0.838000
796.00 0.838000
797.00 0.843000
798.00 0.846000
799.00 0.844000
800.00 0.841000
801.00 0.838000
802.00 0.835000
803.00 0.834000
804.00 0.832000
805.00 0.830000
806.00 0.828000
807.00 0.824000
808.00 0.821000
809.00 0.817000
810.00 0.813000
811.00 0.810000
812.00 0.804000
813.00 0.798000
814.00 0.780000
815.00 0.767000
816.00 0.728000
817.00 0.684000
818.00 0.609000
819.00 0.523000
820.00 0.408000
821.00 0.313000
822.00 0.221000
823.00 0.142000
824.00 0.104000
825.00 0.071000
826.00 0.047000
827.00 0.033000
828.00 0.021000
829.00 0.015000
830.00 0.010000
831.00 0.007000
832.00 0.005000
833.00 0.004000
834.00 0.003000
835.00 0.002000
836.00 0.002000
837.00 0.001000
838.00 0.001000
839.00 0.001000
840.00 0.001000
841.00 0.001000
842.00 0.001000
843.00 0.001000
