# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=PAN-STARRS
# Wavelength(nm) Transmission(0-1)
897.00 0.001000
898.00 0.001000
899.00 0.001000
900.00 0.001000
901.00 0.002000
902.00 0.002000
903.00 0.002000
904.00 0.002000
905.00 0.002000
906.00 0.003000
907.00 0.003000
908.00 0.003000
909.00 0.005000
910.00 0.006000
911.00 0.009000
912.00 0.015000
913.00 0.024000
914.00 0.040000
915.00 0.066000
916.00 0.098000
917.00 0.152000
918.00 0.199000
919.00 0.271000
920.00 0.335000
921.00 0.403000
922.00 0.451000
923.00 0.506000
924.00 0.539000
925.00 0.565000
926.00 0.591000
927.00 0.615000
928.00 0.597000
929.00 0.601000
930.00 0.570000
931.00 0.543000
932.00 0.501000
933.00 0.486000
934.00 0.435000
935.00 0.464000
936.00 0.401000
937.00 0.435000
938.00 0.441000
939.00 0.513000
940.00 0.529000
941.00 0.498000
942.00 0.499000
943.00 0.431000
944.00 0.419000
945.00 0.471000
946.00 0.386000
947.00 0.459000
948.00 0.404000
949.00 0.487000
950.00 0.349000
951.00 0.480000
952.00 0.386000
953.00 0.422000
954.00 0.435000
955.00 0.413000
956.00 0.402000
957.00 0.388000
958.00 0.412000
959.00 0.395000
960.00 0.401000
961.00 0.401000
962.00 0.394000
963.00 0.399000
964.00 0.386000
965.00 0.387000
966.00 0.382000
967.00 0.381000
968.00 0.388000
969.00 0.390000
970.00 0.378000
971.00 0.380000
972.00 0.368000
973.00 0.358000
974.00 0.349000
975.00 0.341000
976.00 0.337000
977.00 0.335000
978.00 0.327000
979.00 0.326000
980.00 0.315000
981.00 0.318000
982.00 0.311000
983.00 0.302000
984.00 0.301000
985.00 0.292000
986.00 0.290000
987.00 0.282000
988.00 0.274000
989.00 0.268000
990.00 0.260000
991.00 0.255000
992.00 0.250000
993.00 0.243000
994.00 0.238000
995.00 0.232000
996.00 0.227000
997.00 0.221000
998.00 0.216000
999.00 0.211000
1000.00 0.205000
1001.00 0.200000
1002.00 0.195000
1003.00 0.189000
1004.00 0.183000
1005.00 0.178000
1006.00 0.173000
1007.00 0.168000
1008.00 0.162000
1009.00 0.157000
1010.00 0.152000
1011.00 0.147000
1012.00 0.141000
1013.00 0.136000
1014.00 0.131000
1015.00 0.127000
1016.00 0.124000
1017.00 0.120000
1018.00 0.116000
1019.00 0.111000
1020.00 0.106000
1021.00 0.102000
1022.00 0.097000
1023.00 0.094000
1024.00 0.091000
1025.00 0.088000
1026.00 0.084000
1027.00 0.081000
1028.00 0.078000
1029.00 0.075000
1030.00 0.071000
1031.00 0.067000
1032.00 0.064000
1033.00 0.060000
1034.00 0.057000
1035.00 0.055000
1036.00 0.053000
1037.00 0.050000
1038.00 0.048000
1039.00 0.045000
1040.00 0.043000
1041.00 0.041000
1042.00 0.039000
1043.00 0.037000
1044.00 0.036000
1045.00 0.035000
1046.00 0.034000
1047.00 0.033000
1048.00 0.032000
1049.00 0.030000
1050.00 0.029000
1051.00 0.028000
1052.00 0.027000
1053.00 0.026000
1054.00 0.025000
1055.00 0.024000
1056.00 0.023000
1057.00 0.022000
1058.00 0.021000
1059.00 0.020000
1060.00 0.019000
1061.00 0.018000
1062.00 0.017000
1063.00 0.016000
1064.00 0.015000
1065.00 0.015000
1066.00 0.014000
1067.00 0.014000
1068.00 0.013000
1069.00 0.012000
1070.00 0.012000
1071.00 0.011000
1072.00 0.011000
1073.00 0.011000
1074.00 0.010000
1075.00 0.010000
1076.00 0.009000
1077.00 0.009000
1078.00 0.008000
1079.00 0.008000
1080.00 0.008000
1081.00 0.007000
1082.00 0.007000
1083.00 0.007000
1084.00 0.006000
1085.00 0.006000
1086.00 0.006000
1087.00 0.006000
1088.00 0.005000
1089.00 0.005000
1090.00 0.005000
1091.00 0.005000
1092.00 0.004000
1093.00 0.004000
1094.00 0.004000
1095.00 0.004000
1096.00 0.003000
1097.00 0.003000
1098.00 0.003000
1099.00 0.003000
1100.00 0.002000
