# $LastChangedRevision$
# $Id$
# SDSS throughput curves from http://www.sdss.org/dr3/instruments/imager/index.html#filters
# Wavelength(nm)  Transmission(0-1)
363 0.0000
365.5 0.0003
368 0.0008
370.5 0.0013
373 0.0019
375.5 0.0024
378 0.0034
380.5 0.0055
383 0.0103
385.5 0.0194
388 0.0326
390.5 0.0492
393 0.0686
395.5 0.0900
398 0.1123
400.5 0.1342
403 0.1545
405.5 0.1722
408 0.1873
410.5 0.2003
413 0.2116
415.5 0.2214
418 0.2301
420.5 0.2378
423 0.2448
425.5 0.2513
428 0.2574
430.5 0.2633
433 0.2691
435.5 0.2747
438 0.2801
440.5 0.2852
443 0.2899
445.5 0.2940
448 0.2979
450.5 0.3016
453 0.3055
455.5 0.3097
458 0.3141
460.5 0.3184
463 0.3224
465.5 0.3257
468 0.3284
470.5 0.3307
473 0.3327
475.5 0.3346
478 0.3364
480.5 0.3383
483 0.3403
485.5 0.3425
488 0.3448
490.5 0.3472
493 0.3495
495.5 0.3519
498 0.3541
500.5 0.3562
503 0.3581
505.5 0.3597
508 0.3609
510.5 0.3613
513 0.3609
515.5 0.3595
518 0.3581
520.5 0.3558
523 0.3452
525.5 0.3194
528 0.2807
530.5 0.2339
533 0.1839
535.5 0.1352
538 0.0911
540.5 0.0548
543 0.0295
545.5 0.0166
548 0.0112
550.5 0.0077
553 0.0050
555.5 0.0032
558 0.0021
560.5 0.0015
563 0.0012
565.5 0.0010
568 0.0009
570.5 0.0008
573 0.0006
575.5 0.0005
578 0.0003
580.5 0.0001
583 0.0000
