# $LastChangedRevision$
# $Id$
# SDSS throughput curves from http://www.sdss.org/dr3/instruments/imager/index.html#filters
# Wavelength(nm)  Transmission(0-1)
298 0.0000
300.5 0.0001
303 0.0005
305.5 0.0013
308 0.0026
310.5 0.0052
313 0.0093
315.5 0.0161
318 0.0240
320.5 0.0323
323 0.0405
325.5 0.0485
328 0.0561
330.5 0.0634
333 0.0700
335.5 0.0756
338 0.0803
340.5 0.0848
343 0.0883
345.5 0.0917
348 0.0959
350.5 0.1001
353 0.1029
355.5 0.1044
358 0.1053
360.5 0.1063
363 0.1075
365.5 0.1085
368 0.1084
370.5 0.1064
373 0.1024
375.5 0.0966
378 0.0887
380.5 0.0787
383 0.0672
385.5 0.0549
388 0.0413
390.5 0.0268
393 0.0145
395.5 0.0075
398 0.0042
400.5 0.0022
403 0.0010
405.5 0.0006
408 0.0004
410.5 0.0002
413 0.0000
