# $LastChangedRevision$
# $Id$
# SDSS throughput curves from http://www.sdss.org/dr3/instruments/imager/index.html#filters
# Wavelength(nm)  Transmission(0-1)
773 0.0000
775.5 0.0000
778 0.0001
780.5 0.0001
783 0.0001
785.5 0.0002
788 0.0002
790.5 0.0003
793 0.0005
795.5 0.0007
798 0.0011
800.5 0.0017
803 0.0027
805.5 0.0040
808 0.0057
810.5 0.0079
813 0.0106
815.5 0.0139
818 0.0178
820.5 0.0222
823 0.0271
825.5 0.0324
828 0.0382
830.5 0.0446
833 0.0511
835.5 0.0564
838 0.0603
840.5 0.0637
843 0.0667
845.5 0.0694
848 0.0717
850.5 0.0736
853 0.0752
855.5 0.0765
858 0.0775
860.5 0.0782
863 0.0786
865.5 0.0787
868 0.0785
870.5 0.0780
873 0.0772
875.5 0.0763
878 0.0751
880.5 0.0738
883 0.0723
885.5 0.0708
888 0.0693
890.5 0.0674
893 0.0632
895.5 0.0581
898 0.0543
900.5 0.0526
903 0.0523
905.5 0.0522
908 0.0512
910.5 0.0496
913 0.0481
915.5 0.0473
918 0.0476
920.5 0.0482
923 0.0476
925.5 0.0447
928 0.0391
930.5 0.0329
933 0.0283
935.5 0.0264
938 0.0271
940.5 0.0283
943 0.0275
945.5 0.0254
948 0.0252
950.5 0.0256
953 0.0246
955.5 0.0244
958 0.0252
960.5 0.0258
963 0.0265
965.5 0.0274
968 0.0279
970.5 0.0271
973 0.0252
975.5 0.0236
978 0.0227
980.5 0.0222
983 0.0216
985.5 0.0208
988 0.0196
990.5 0.0183
993 0.0171
995.5 0.0160
998 0.0149
1000.5 0.0138
1003 0.0128
1005.5 0.0118
1008 0.0108
1010.5 0.0099
1013 0.0091
1015.5 0.0083
1018 0.0075
1020.5 0.0068
1023 0.0061
1025.5 0.0055
1028 0.0050
1030.5 0.0045
1033 0.0041
1035.5 0.0037
1038 0.0033
1040.5 0.0030
1043 0.0027
1045.5 0.0025
1048 0.0023
1050.5 0.0021
1053 0.0019
1055.5 0.0018
1058 0.0017
1060.5 0.0016
1063 0.0015
1065.5 0.0014
1068 0.0013
1070.5 0.0012
1073 0.0011
1075.5 0.0010
1078 0.0009
1080.5 0.0008
1083 0.0008
1085.5 0.0007
1088 0.0006
1090.5 0.0006
1093 0.0006
1095.5 0.0005
1098 0.0005
1100.5 0.0004
1103 0.0004
1105.5 0.0003
1108 0.0003
1110.5 0.0002
1113 0.0002
1115.5 0.0001
1118 0.0001
1120.5 0.0000
1123 0.0000
