# $LastChangedRevision$
# $Id$
# Docushare Collection-1777, V1, Date= March 1, 2010. 
# Wavelength(nm)  Throughput
300.0 1.89151179387e-10
300.1 2.22741640611e-10
300.2 2.59592596115e-10
300.3 2.99866399011e-10
300.4 3.43729981056e-10
300.5 3.9135491816e-10
300.6 4.49167507856e-10
300.7 5.12184574551e-10
300.8 5.806534174e-10
300.9 6.54828042788e-10
301.0 7.34969257067e-10
301.1 1.14012277374e-09
301.2 1.59512906451e-09
301.3 2.10269362244e-09
301.4 2.66560236029e-09
301.5 3.28672281084e-09
301.6 3.9568453895e-09
301.7 4.68756552498e-09
301.8 5.48177701688e-09
301.9 6.34245313315e-09
302.0 7.27264773076e-09
302.1 7.45347551126e-09
302.2 7.61649993924e-09
302.3 7.76020753738e-09
302.4 7.88303244377e-09
302.5 7.98335556264e-09
302.6 8.13117559823e-09
302.7 8.24969265763e-09
302.8 8.33672169919e-09
302.9 8.39000613193e-09
303.0 8.40721670066e-09
303.1 9.25935028987e-09
303.2 1.01700346353e-08
303.3 1.1141838818e-08
303.4 1.21774014624e-08
303.5 1.32794317396e-08
303.6 1.4390091069e-08
303.7 1.5565693453e-08
303.8 1.68087882729e-08
303.9 1.81219884929e-08
304.0 1.95079715229e-08
304.1 2.28264618015e-08
304.2 2.64224584327e-08
304.3 3.03092590336e-08
304.4 3.45005395759e-08
304.5 3.90103600443e-08
304.6 4.42565206922e-08
304.7 4.99248415291e-08
304.8 5.60350185809e-08
304.9 6.26072932507e-08
305.0 6.96624602641e-08
305.1 6.76413416754e-08
305.2 6.51808565073e-08
305.3 6.22553630197e-08
305.4 5.88384274972e-08
305.5 5.49028118472e-08
305.6 5.00772646861e-08
305.7 4.47581183151e-08
305.8 3.89223558438e-08
305.9 3.25463386094e-08
306.0 2.56057972849e-08
306.1 2.45754732218e-08
306.2 2.33969534316e-08
306.3 2.20625326182e-08
306.4 2.05642822608e-08
306.5 1.88940472414e-08
306.6 1.72057609555e-08
306.7 1.52851715837e-08
306.8 1.31199442126e-08
306.9 1.06973838073e-08
307.0 8.00442978495e-09
307.1 6.12905378399e-08
307.2 1.19686493491e-07
307.3 1.83443192086e-07
307.4 2.52818698496e-07
307.5 3.28078355337e-07
307.6 4.06469599674e-07
307.7 4.90147106045e-07
307.8 5.79323338076e-07
307.9 6.74216054964e-07
308.0 7.75048384065e-07
308.1 7.24960515094e-07
308.2 6.70112856263e-07
308.3 6.10298180101e-07
308.4 5.45303927485e-07
308.5 4.74912133102e-07
308.6 4.00508197269e-07
308.7 3.19568401671e-07
308.8 2.31806281699e-07
308.9 1.3692793001e-07
309.0 3.46318919821e-08
309.1 3.79816141545e-08
309.2 4.15382655807e-08
309.3 4.53101918018e-08
309.4 4.93059511639e-08
309.5 5.3534317822e-08
309.6 5.78650187695e-08
309.7 6.24290775183e-08
309.8 6.72350137611e-08
309.9 7.2291548532e-08
310.0 7.760760689e-08
310.1 7.80753874151e-08
310.2 7.84236211668e-08
310.3 7.86444282443e-08
310.4 7.87296724182e-08
310.5 7.86709568736e-08
310.6 7.84315032396e-08
310.7 7.80312467735e-08
310.8 7.74611443549e-08
310.9 7.6711882792e-08
311.0 7.5773874605e-08
311.1 8.65394922889e-08
311.2 9.79859454718e-08
311.3 1.10140742555e-07
311.4 1.23032103198e-07
311.5 1.3668896863e-07
311.6 1.51860494831e-07
311.7 1.67989019239e-07
311.8 1.85114265842e-07
311.9 2.03277015957e-07
312.0 2.22519123916e-07
312.1 3.06456086044e-07
312.2 3.96519062637e-07
312.3 4.92970429786e-07
312.4 5.96079522426e-07
312.5 7.06122736018e-07
312.6 8.19242455208e-07
312.7 9.38729382414e-07
312.8 1.0648070511e-06
312.9 1.19770401194e-06
313.0 1.33765389692e-06
313.1 1.27714716815e-06
313.2 1.21213121018e-06
313.3 1.14245593754e-06
313.4 1.06796833746e-06
313.5 9.88512438346e-07
313.6 9.08969082019e-07
313.7 8.23104430839e-07
313.8 7.30672977344e-07
313.9 6.3142346805e-07
314.0 5.25098828758e-07
314.1 5.00049699455e-07
314.2 4.72452270411e-07
314.3 4.42198399592e-07
314.4 4.0917729199e-07
314.5 3.7327546427e-07
314.6 3.3253125e-07
314.7 2.8917342884e-07
314.8 2.43114806254e-07
314.9 1.94266398526e-07
315.0 1.42537411912e-07
315.1 1.31031336991e-07
315.2 1.18953251495e-07
315.3 1.06289045133e-07
315.4 9.30244049709e-08
315.5 7.91448138639e-08
315.6 6.49550884888e-08
315.7 4.99702277782e-08
315.8 3.41659793283e-08
315.9 1.75176298231e-08
316.0 6.5340939068e-19
316.1 1.84683164222e-08
316.2 3.79732143947e-08
316.3 5.85474351427e-08
316.4 8.02243608512e-08
316.5 1.03038021801e-07
316.6 1.26433749621e-07
316.7 1.50815465591e-07
316.8 1.76208238218e-07
316.9 2.02637545816e-07
317.0 2.3012928048e-07
317.1 5.62105729995e-07
317.2 9.05713508899e-07
317.3 1.2611797696e-06
317.4 1.628734326e-06
317.5 2.00860967069e-06
317.6 2.41131887108e-06
317.7 2.83026675814e-06
317.8 3.26585052563e-06
317.9 3.71847363505e-06
318.0 4.18854587423e-06
318.1 3.86595856798e-06
318.2 3.52358132265e-06
318.3 3.1608312541e-06
318.4 2.77711522275e-06
318.5 2.37182973151e-06
318.6 1.9379526293e-06
318.7 1.48432871542e-06
318.8 1.01046425699e-06
318.9 5.15857780302e-07
319.0 0.0
319.1 0.0
319.2 0.0
319.3 0.0
319.4 0.0
319.5 0.0
319.6 0.0
319.7 0.0
319.8 0.0
319.9 0.0
320.0 0.0
320.1 0.0
320.2 0.0
320.3 0.0
320.4 0.0
320.5 0.0
320.6 0.0
320.7 0.0
320.8 0.0
320.9 0.0
321.0 0.0
321.1 0.0
321.2 0.0
321.3 0.0
321.4 0.0
321.5 0.0
321.6 0.0
321.7 0.0
321.8 0.0
321.9 0.0
322.0 0.0
322.1 0.0
322.2 0.0
322.3 0.0
322.4 0.0
322.5 0.0
322.6 0.0
322.7 0.0
322.8 0.0
322.9 0.0
323.0 0.0
323.1 0.0
323.2 0.0
323.3 0.0
323.4 0.0
323.5 0.0
323.6 0.0
323.7 0.0
323.8 0.0
323.9 0.0
324.0 0.0
324.1 0.0
324.2 0.0
324.3 0.0
324.4 0.0
324.5 0.0
324.6 0.0
324.7 0.0
324.8 0.0
324.9 0.0
325.0 0.0
325.1 0.0
325.2 0.0
325.3 0.0
325.4 0.0
325.5 0.0
325.6 0.0
325.7 0.0
325.8 0.0
325.9 0.0
326.0 1.26379936973e-17
326.1 2.16399650291e-07
326.2 4.38088590272e-07
326.3 6.65138616001e-07
326.4 8.97622135961e-07
326.5 1.13561217417e-06
326.6 1.37383960438e-06
326.7 1.61585084857e-06
326.8 1.86168154634e-06
326.9 2.11136755522e-06
327.0 2.36494495146e-06
327.1 2.6957112106e-06
327.2 3.03015144245e-06
327.3 3.36827828351e-06
327.4 3.71010425229e-06
327.5 4.05564174784e-06
327.6 4.4080104419e-06
327.7 4.76462604912e-06
327.8 5.12551151901e-06
327.9 5.49068979394e-06
328.0 5.8601838083e-06
328.1 5.33650927765e-06
328.2 4.79948614748e-06
328.3 4.24892772884e-06
328.4 3.68464568198e-06
328.5 3.10645000771e-06
328.6 2.5188930815e-06
328.7 1.9147225956e-06
328.8 1.29368675263e-06
328.9 6.55531396579e-07
329.0 0.0
329.1 0.0
329.2 0.0
329.3 0.0
329.4 0.0
329.5 0.0
329.6 0.0
329.7 0.0
329.8 0.0
329.9 0.0
330.0 0.0
330.1 0.0
330.2 0.0
330.3 0.0
330.4 0.0
330.5 0.0
330.6 0.0
330.7 0.0
330.8 0.0
