# $LastChangedRevision$
# $Id$
# Docushare Collection-1777, V1, Date= March 1, 2010. 
# Wavelength(nm)  Throughput
300.0 3.78302358774e-10
300.1 6.47975681778e-10
300.2 9.51839519089e-10
300.3 1.29173218035e-09
300.4 1.66954562227e-09
300.5 2.08722623019e-09
300.6 2.58271317017e-09
300.7 3.13336445607e-09
300.8 3.74198868991e-09
300.9 4.41147313036e-09
301.0 5.14478479946e-09
301.1 5.26815350626e-09
301.2 5.37306632257e-09
301.3 5.4580557859e-09
301.4 5.52160488918e-09
301.5 5.56214629527e-09
301.6 5.56097189876e-09
301.7 5.53471592106e-09
301.8 5.48177701688e-09
301.9 5.40050464803e-09
302.0 5.28919834965e-09
302.1 5.76589615022e-09
302.2 6.27241171467e-09
302.3 6.80997804301e-09
302.4 7.37986016013e-09
302.5 7.98335556264e-09
302.6 8.69846691904e-09
302.7 9.45696475387e-09
302.8 1.02605805529e-08
302.9 1.11110892018e-08
303.0 1.20103095724e-08
303.1 1.19229990034e-08
303.2 1.17758295777e-08
303.3 1.15649466212e-08
303.4 1.12863720871e-08
303.5 1.09360026091e-08
303.6 1.04655207775e-08
303.7 9.92099143156e-09
303.8 9.29847861903e-09
303.9 8.59393268733e-09
304.0 7.80318860914e-09
304.1 7.8144644005e-09
304.2 7.79679101291e-09
304.3 7.74823163264e-09
304.4 7.6667865724e-09
304.5 7.55039226662e-09
304.6 7.46495529747e-09
304.7 7.33359254099e-09
304.8 7.15340662734e-09
304.9 6.92140930409e-09
305.0 6.63452002516e-09
305.1 6.97333419335e-09
305.2 7.3236917424e-09
305.3 7.68584728639e-09
305.4 8.06005856127e-09
305.5 8.44658643804e-09
305.6 8.78548503266e-09
305.7 9.13430986024e-09
305.8 9.49325752291e-09
305.9 9.86252685138e-09
306.0 1.0242318914e-08
306.1 1.06849883573e-08
306.2 1.1141406396e-08
306.3 1.16118592728e-08
306.4 1.2096636624e-08
306.5 1.25960314943e-08
306.6 1.3235200735e-08
306.7 1.38956105307e-08
306.8 1.45777157919e-08
306.9 1.52819768676e-08
307.0 1.60088595683e-08
307.1 1.76315245839e-08
307.2 1.93610504176e-08
307.3 2.12019769747e-08
307.4 2.31589647477e-08
307.5 2.52367965643e-08
307.6 2.72376535863e-08
307.7 2.93436183219e-08
307.8 3.15584697784e-08
307.9 3.38860755527e-08
308.0 3.63303930031e-08
308.1 4.01362222891e-08
308.2 4.41547230872e-08
308.3 4.83936882901e-08
308.4 5.28610950115e-08
308.5 5.75651070429e-08
308.6 6.27662100201e-08
308.7 6.82573285127e-08
308.8 7.40492288768e-08
308.9 8.01529346415e-08
309.0 8.65797299552e-08
309.1 9.76670078258e-08
309.2 1.09509972895e-07
309.3 1.22140517031e-07
309.4 1.35591365701e-07
309.5 1.49896089902e-07
309.6 1.64692745729e-07
309.7 1.80350668386e-07
309.8 1.96902540301e-07
309.9 2.14381833578e-07
310.0 2.3282282067e-07
310.1 2.55764200154e-07
310.2 2.8008436131e-07
310.3 3.05839443173e-07
310.4 3.33087075616e-07
310.5 3.61886401619e-07
310.6 3.92157516199e-07
310.7 4.240828629e-07
310.8 4.57724943916e-07
310.9 4.9314781795e-07
311.0 5.30417122233e-07
311.1 5.11369727159e-07
311.2 4.89929727357e-07
311.3 4.65980064652e-07
311.4 4.39400368562e-07
311.5 4.10066905888e-07
311.6 3.79651237075e-07
311.7 3.4585974549e-07
311.8 3.08523776401e-07
311.9 2.67469757837e-07
312.0 2.22519123914e-07
312.1 2.13941041198e-07
312.2 2.04267395902e-07
312.3 1.934440927e-07
312.4 1.81415506824e-07
312.5 1.68124460955e-07
312.6 1.52740118766e-07
312.7 1.36151589815e-07
312.8 1.18311894566e-07
312.9 9.91729436629e-08
313.0 7.86855233487e-08
313.1 8.89153091756e-08
313.2 9.96272227548e-08
313.3 1.10835277523e-07
313.4 1.22553743644e-07
313.5 1.34797150684e-07
313.6 1.48403115433e-07
313.7 1.62706689818e-07
313.8 1.77731264761e-07
313.9 1.9350074021e-07
314.0 2.10039531505e-07
314.1 2.39154204089e-07
314.2 2.69972725951e-07
314.3 3.02556799723e-07
314.4 3.36969534582e-07
314.5 3.73275464272e-07
314.6 4.09269230772e-07
314.7 4.46904390029e-07
314.8 4.86229612512e-07
314.9 5.27294510291e-07
315.0 5.70149647651e-07
315.1 6.11479572629e-07
315.2 6.54242883227e-07
315.3 6.98470868019e-07
315.4 7.44195239773e-07
315.5 7.91448138646e-07
315.6 8.44416150363e-07
315.7 8.9946410002e-07
315.8 9.5664742121e-07
315.9 1.01602252978e-06
316.0 1.07764683413e-06
316.1 1.12656730171e-06
316.2 1.17716964622e-06
316.3 1.22949613798e-06
316.4 1.28358977361e-06
316.5 1.33949428341e-06
316.6 1.39077124582e-06
316.7 1.44351945637e-06
316.8 1.49777002484e-06
316.9 1.55355451791e-06
317.0 1.61090496327e-06
317.1 1.4755275412e-06
317.2 1.3347356973e-06
317.3 1.18841939826e-06
317.4 1.03646729835e-06
317.5 8.78766730915e-07
