# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=TYCHO (MVB 2014 versions)
# Wavelength(nm) Transmission(0-1)
351.14 0.000000
352.73 0.005000
354.32 0.010000
355.91 0.018000
357.51 0.029000
359.10 0.044000
360.69 0.061000
362.28 0.080000
363.88 0.101000
365.47 0.124000
367.06 0.149000
368.66 0.176000
370.25 0.205000
371.84 0.235000
373.44 0.267000
375.03 0.300000
376.62 0.334000
378.22 0.370000
379.81 0.407000
381.41 0.444000
383.00 0.481000
384.60 0.518000
386.19 0.555000
387.79 0.590000
389.38 0.625000
390.98 0.658000
392.57 0.689000
394.17 0.717000
395.77 0.744000
397.36 0.768000
398.96 0.789000
400.55 0.808000
402.15 0.825000
403.75 0.840000
405.34 0.852000
406.94 0.863000
408.54 0.873000
410.14 0.881000
411.73 0.889000
413.33 0.896000
414.93 0.904000
416.53 0.911000
418.12 0.918000
419.72 0.926000
421.32 0.934000
422.92 0.943000
424.52 0.951000
426.11 0.960000
427.71 0.968000
429.31 0.976000
430.91 0.983000
432.51 0.989000
434.11 0.994000
435.71 0.999000
437.31 1.000000
438.91 0.996000
440.51 0.987000
442.11 0.972000
443.71 0.948000
445.31 0.915000
446.91 0.876000
448.51 0.831000
450.11 0.779000
451.71 0.722000
453.31 0.664000
454.91 0.604000
456.51 0.543000
458.11 0.484000
459.72 0.428000
461.32 0.375000
462.92 0.326000
464.52 0.283000
466.12 0.246000
467.73 0.214000
469.33 0.186000
470.93 0.163000
472.53 0.144000
474.14 0.128000
475.74 0.116000
477.34 0.105000
478.94 0.096000
480.55 0.089000
482.15 0.083000
483.75 0.076000
485.36 0.070000
486.96 0.063000
488.56 0.057000
490.17 0.050000
491.77 0.044000
493.38 0.037000
494.98 0.031000
496.59 0.025000
498.19 0.019000
499.79 0.014000
501.40 0.010000
503.00 0.006000
504.61 0.004000
506.21 0.002000
507.82 0.001000
